#Locus	Accession	Start	End	Length	RevGeneID	FwdGeneID	RevOperonId	FwdOperonId
locus_0057	NC_002947.4	89318	89425	108	PP_0077	PP_0079	operon 11	
locus_0059	NC_002947.4	93594	93703	110	PP_0083	PP_0084		
locus_0061	NC_002947.4	96685	96836	152	PP_0088	PP_0089		
locus_0064	NC_002947.4	98490	98574	85	PP_0092	PP_0093		
locus_0065	NC_002947.4	100409	100529	121	PP_0094			
locus_0066	NC_002947.4	101079	101180	102	PP_0095	PP_0096		
locus_0068	NC_002947.4	103703	103841	139		PP_0099		
locus_0069	NC_002947.4	104901	105206	306		PP_0100		operon 12
locus_0070	NC_002947.4	105927	106133	207		PP_0101		
locus_0071	NC_002947.4	108441	108809	369	PP_5426	PP_0103		operon 13
locus_0078	NC_002947.4	119828	120054	227	PP_0114	PP_0115	operon 14	
locus_0079	NC_002947.4	122959	123084	126	PP_0116			
locus_0080	NC_002947.4	125116	125181	66	PP_0119	PP_0120	operon 15	
locus_0083	NC_002947.4	131274	131474	201	PP_0124	PP_0125		
locus_0085	NC_002947.4	132427	132577	151		PP_0127		operon 16
locus_0089	NC_002947.4	136905	137099	195		PP_0131		
locus_0090	NC_002947.4	141847	142056	210	PP_0133	PP_0134		
locus_0091	NC_002947.4	142879	143052	174		PP_5428		
locus_0092	NC_002947.4	143344	143386	43		PP_0135		operon 17
locus_0093	NC_002947.4	144022	144766	745		PP_0137		
locus_0094	NC_002947.4	146096	146242	147		PP_0138		
locus_0096	NC_002947.4	150950	151080	131	PP_0142		operon 18	
locus_0097	NC_002947.4	152107	152199	93	PP_0143			
locus_0099	NC_002947.4	155296	155577	282	PP_0145		operon 19	
locus_0101	NC_002947.4	157726	157989	264	PP_0147	PP_0148	operon 20	
locus_0103	NC_002947.4	161036	161124	89	PP_0151			
locus_0104	NC_002947.4	161506	161750	245	PP_0152		operon 21	
locus_0105	NC_002947.4	161967	162339	373	PP_0153			
locus_0106	NC_002947.4	163834	164019	186	PP_0154			
locus_0108	NC_002947.4	166907	167325	419	PP_0156		operon 22	
locus_0109	NC_002947.4	168244	168403	160	PP_0157	PP_0158		
locus_0111	NC_002947.4	170820	171388	569		PP_16SA		
locus_0112	NC_002947.4	172911	173202	292		PP_23SA		
locus_0113	NC_002947.4	176105	176236	132		PP_5SA		
locus_0114	NC_002947.4	176357	176818	462		PP_16SB		
locus_0115	NC_002947.4	178341	178632	292		PP_23SB		
locus_0116	NC_002947.4	181535	181666	132		PP_r01		
locus_0117	NC_002947.4	181787	181891	105		PP_5SB		
locus_0118	NC_002947.4	184563	184655	93	PP_0160			
locus_0120	NC_002947.4	186139	186226	88	PP_0162			
locus_0121	NC_002947.4	186917	187188	272	PP_0163	PP_0164	operon 23	
locus_0124	NC_002947.4	193797	193881	85	PP_5429			
locus_0125	NC_002947.4	194086	194494	409	PP_5430	PP_0168		
locus_0126	NC_002947.4	220544	220670	127		PP_5431		
locus_0127	NC_002947.4	221031	221228	198		PP_0169		operon 24
locus_0131	NC_002947.4	225661	225774	114	PP_0173	PP_0174		
locus_0132	NC_002947.4	226594	226725	132		PP_0175		operon 25
locus_0133	NC_002947.4	231759	231901	143		PP_0180		
locus_0135	NC_002947.4	234493	234640	148	PP_0182	PP_0183		
locus_0136	NC_002947.4	236835	237119	285	PP_0184	PP_0185		
locus_0137	NC_002947.4	237864	237981	118		PP_0186		operon 26
locus_0139	NC_002947.4	242069	242290	222		PP_0190		
locus_0140	NC_002947.4	242798	243028	231		PP_0191		
locus_0141	NC_002947.4	244171	244324	154	PP_0192	PP_0194		
locus_0143	NC_002947.4	248321	248419	99		PP_0198		
locus_0148	NC_002947.4	253216	253385	170	PP_0202			
locus_0149	NC_002947.4	255117	255278	162	PP_0203			
locus_0150	NC_002947.4	255356	255568	213	PP_t74	PP_0204		
locus_0152	NC_002947.4	258348	258466	119		PP_0207		
locus_0154	NC_002947.4	262766	263249	484		PP_0213		
locus_0155	NC_002947.4	264693	264874	182		PP_0214		
locus_0156	NC_002947.4	266153	266290	138		PP_0215		
locus_0157	NC_002947.4	268670	268768	99	PP_0216			
locus_0158	NC_002947.4	269954	270099	146	PP_0217	PP_0218		
locus_0159	NC_002947.4	277168	277263	96	PP_0223			
locus_0160	NC_002947.4	278506	278818	313	PP_0224		operon 28	
locus_0161	NC_002947.4	281040	281347	308	PP_0227	PP_0228	operon 29	
locus_0162	NC_002947.4	282281	282549	269		PP_0229		
locus_0165	NC_002947.4	288108	288581	474	PP_0233	PP_0234	operon 30	
locus_0166	NC_002947.4	289917	290081	165		PP_0235		
locus_0167	NC_002947.4	290721	290939	219		PP_0236		operon 31
locus_0168	NC_002947.4	291534	291618	85		PP_0237		
locus_0172	NC_002947.4	298004	298156	153	PP_0243			
locus_0174	NC_002947.4	305966	306085	120	PP_0251	PP_0252		
locus_0175	NC_002947.4	306986	308853	1868		PP_0254		
locus_0176	NC_002947.4	309834	310029	196	PP_0255			
locus_0178	NC_002947.4	313212	313386	175	PP_0257	PP_0258	operon 33	
locus_0182	NC_002947.4	320330	320606	277	PP_0265	PP_0266	operon 34	
locus_0183	NC_002947.4	324241	324714	474	PP_0267	PP_0268		
locus_0184	NC_002947.4	327733	327881	149	PP_0269			
locus_0185	NC_002947.4	329971	330110	140	PP_0271	PP_0272	operon 35	
locus_0186	NC_002947.4	332687	332861	175	PP_0273	PP_5435		
locus_0188	NC_002947.4	333731	334149	419		PP_0275		
locus_0189	NC_002947.4	334686	334972	287	PP_0276			
locus_0190	NC_002947.4	335049	335146	98	PP_t73			
locus_0191	NC_002947.4	335396	335598	203	PP_0277			
locus_0192	NC_002947.4	335782	335915	134	PP_5437	PP_0278		
locus_0193	NC_002947.4	337751	337878	128	PP_0279			
locus_0196	NC_002947.4	340853	340929	77	PP_0283		operon 36	
locus_0197	NC_002947.4	341107	341483	377	PP_5438	PP_0284		
locus_0198	NC_002947.4	343445	343683	239	PP_5439	PP_5440		
locus_0199	NC_002947.4	344176	344265	90	PP_t72			
locus_0200	NC_002947.4	347846	348113	268	PP_0287	PP_0288	operon 37	
locus_0201	NC_002947.4	349776	349954	179		PP_0289		operon 38
locus_0202	NC_002947.4	351488	351514	27		PP_0292		operon 39
locus_0204	NC_002947.4	355172	355255	84	PP_0295			
locus_0205	NC_002947.4	356204	356655	452	PP_0296	PP_0297	operon 40	
locus_0206	NC_002947.4	358033	358161	129		PP_5441		
locus_0207	NC_002947.4	358363	358533	171		PP_0298		
locus_0208	NC_002947.4	360219	360349	131	PP_0299	PP_0300		
locus_0210	NC_002947.4	363483	363648	166	PP_0302			
locus_0211	NC_002947.4	364534	364656	123	PP_0303		operon 41	
locus_0212	NC_002947.4	365602	365733	132	PP_0304	PP_0305		
locus_0214	NC_002947.4	368117	368218	102	PP_0306			
locus_0215	NC_002947.4	368651	368920	270	PP_0307	PP_0308		
locus_0216	NC_002947.4	369899	369973	75		PP_0309		operon 42
locus_0218	NC_002947.4	372581	372758	178		PP_0311		
locus_0220	NC_002947.4	376725	377325	601		PP_0314		
locus_0221	NC_002947.4	379415	379703	289	PP_0315	PP_0316		
locus_0222	NC_002947.4	382545	382810	266	PP_0317	PP_0318		
locus_0223	NC_002947.4	383341	383522	182		PP_0320		
locus_0224	NC_002947.4	386536	386860	325	PP_0321	PP_0322		
locus_0225	NC_002947.4	388115	388129	15		PP_0323		operon 43
locus_0229	NC_002947.4	394318	394618	301		PP_0328		
locus_0230	NC_002947.4	396946	397138	193	PP_0329	PP_0330		
locus_0231	NC_002947.4	398485	398695	211	PP_0331			
locus_0232	NC_002947.4	399584	399764	181	PP_0332	PP_0333		
locus_0233	NC_002947.4	400266	400414	149		PP_0334		
locus_0235	NC_002947.4	403198	403365	168	PP_0336			
locus_0236	NC_002947.4	406057	406363	307	PP_0337			
locus_0238	NC_002947.4	410664	411046	383	PP_0339	PP_0340	operon 44	
locus_0239	NC_002947.4	413981	414182	202		PP_0341		operon 45
locus_0242	NC_002947.4	427799	428049	251	PP_0350			
locus_0243	NC_002947.4	429522	429668	147	PP_0352		operon 46	
locus_0244	NC_002947.4	432314	432405	92	PP_0354	PP_0355	operon 47	
locus_0245	NC_002947.4	435200	435648	449	PP_0356	PP_0357		
locus_0249	NC_002947.4	439971	440059	89	PP_0361	PP_0362		
locus_0251	NC_002947.4	444519	444691	173		PP_0367		
locus_0252	NC_002947.4	445028	445314	287		PP_0368		
locus_0253	NC_002947.4	447121	447421	301		PP_0369		
locus_0254	NC_002947.4	448706	448829	124		PP_0370		
locus_0255	NC_002947.4	451873	452082	210	PP_0371	PP_0372		
locus_0256	NC_002947.4	453364	453510	147		PP_0373		
locus_0257	NC_002947.4	454661	454815	155	PP_5444			
locus_0258	NC_002947.4	458780	458942	163	PP_0378			
locus_0259	NC_002947.4	459855	459932	78	PP_0379			
locus_0260	NC_002947.4	460005	460163	159	PP_0380		operon 49	
locus_0261	NC_002947.4	462465	462604	140	PP_0381			
locus_0263	NC_002947.4	465097	465349	253	PP_0383		operon 50	
locus_0264	NC_002947.4	465812	465998	187	PP_0384	PP_0385		
locus_0267	NC_002947.4	470957	471083	127	PP_0386			
locus_0269	NC_002947.4	474985	475288	304	PP_0388		operon 51	
locus_0270	NC_002947.4	475505	475708	204	PP_0389	PP_0390		
locus_0273	NC_002947.4	482361	482515	155	PP_0396			
locus_0274	NC_002947.4	484439	484720	282	PP_0397		operon 52	
locus_0276	NC_002947.4	486315	486511	197	PP_0400		operon 53	
locus_0277	NC_002947.4	492421	492550	130	PP_0404	PP_0405	operon 54	
locus_0278	NC_002947.4	496034	496128	95	PP_0408	PP_0409		
locus_0280	NC_002947.4	499157	499451	295		PP_0411		operon 56
locus_0284	NC_002947.4	503798	503947	150		PP_0415		operon 57
locus_0286	NC_002947.4	509011	509377	367	PP_0418	PP_0420		operon 58
locus_0288	NC_002947.4	511861	512007	147		PP_0423		
locus_0289	NC_002947.4	513354	513543	190	PP_0424	PP_0425		
locus_0295	NC_002947.4	518470	518611	142	PP_0431	PP_0432		
locus_0296	NC_002947.4	519647	519745	99		PP_0433		
locus_0298	NC_002947.4	522727	522933	207	PP_0435	PP_0436		
locus_0299	NC_002947.4	524134	524948	815		PP_16SC		
locus_0300	NC_002947.4	526471	526762	292		PP_23SC		
locus_0301	NC_002947.4	529665	529783	119		PP_5SC		
locus_0302	NC_002947.4	529904	530086	183		PP_0437		operon 59
locus_0303	NC_002947.4	532219	532370	152		PP_t01		
locus_0306	NC_002947.4	532658	532735	78		PP_0440		
locus_0308	NC_002947.4	534060	534103	44		PP_0441		operon 60
locus_0310	NC_002947.4	535016	535134	119		PP_0443		
locus_0311	NC_002947.4	536262	536458	197		PP_0445		
locus_0312	NC_002947.4	536960	537036	77		PP_0446		
locus_0313	NC_002947.4	537403	537622	220		PP_0447		operon 61
locus_0315	NC_002947.4	545961	546171	211		PP_0449		operon 62
locus_0316	NC_002947.4	546544	546649	106		PP_0450		
locus_0319	NC_002947.4	550520	550660	141		PP_0453		
locus_0330	NC_002947.4	557258	557465	208		PP_0468		
locus_0335	NC_002947.4	561219	561246	28		PP_0475		operon 63
locus_0336	NC_002947.4	561364	561494	131		PP_0476		
locus_0341	NC_002947.4	564349	564520	172		PP_0481		
locus_0342	NC_002947.4	565961	566123	163		PP_0482		
locus_0343	NC_002947.4	569496	569624	129	PP_0483	PP_0484		
locus_0345	NC_002947.4	573090	573235	146	PP_0486	PP_0487		
locus_0347	NC_002947.4	574817	574963	147		PP_0489		operon 64
locus_0348	NC_002947.4	580567	580710	144		PP_0493		operon 65
locus_0351	NC_002947.4	586771	586948	178	PP_0496	PP_0497		
locus_0352	NC_002947.4	588646	589876	1231	PP_0498	PP_0500		
locus_0353	NC_002947.4	592161	592262	102	PP_0502	PP_0503		
locus_0354	NC_002947.4	594140	594248	109	PP_0504			
locus_0355	NC_002947.4	594762	594887	126	PP_0505			
locus_0356	NC_002947.4	597446	597575	130	PP_0508	PP_0509	operon 66	
locus_0358	NC_002947.4	600044	600173	130	PP_0512	PP_0513	operon 67	
locus_0360	NC_002947.4	603605	603695	91		PP_0517		
locus_0363	NC_002947.4	606917	607096	180		PP_0522		operon 69
locus_0364	NC_002947.4	610846	611103	258	PP_0525	PP_0526		
locus_0365	NC_002947.4	614182	614358	177	PP_0527			
locus_0366	NC_002947.4	615486	615650	165	PP_0529		operon 70	
locus_0367	NC_002947.4	616302	616672	371	PP_0530	PP_0531		
locus_0368	NC_002947.4	618569	618668	100	PP_0532			
locus_0369	NC_002947.4	620690	620870	181	PP_0534	PP_0535	operon 71	
locus_0370	NC_002947.4	623681	624204	524	PP_0536			
locus_0371	NC_002947.4	624907	625088	182	PP_0537			
locus_0372	NC_002947.4	625617	625708	92	PP_0538			
locus_0374	NC_002947.4	627193	627409	217	PP_0540		operon 72	
locus_0375	NC_002947.4	627869	627975	107	PP_0541			
locus_0378	NC_002947.4	631693	631919	227	PP_0544		operon 73	
locus_0379	NC_002947.4	633441	633694	254	PP_0545	PP_0546		
locus_0380	NC_002947.4	635711	635776	66		PP_0547		operon 74
locus_0386	NC_002947.4	646095	646377	283	PP_0556	PP_0557	operon 75	
locus_0388	NC_002947.4	650157	650255	99	PP_0559			
locus_0389	NC_002947.4	650712	650890	179	PP_0560			
locus_0390	NC_002947.4	652664	652780	117	PP_0561			
locus_0391	NC_002947.4	654743	654986	244	PP_0562			
locus_0392	NC_002947.4	656343	656568	226	PP_0563	PP_0564		
locus_0393	NC_002947.4	658194	658432	239		PP_0566		
locus_0394	NC_002947.4	658805	658954	150		PP_0567		
locus_0395	NC_002947.4	660869	661034	166		PP_0568		
locus_0396	NC_002947.4	662955	663134	180	PP_0569	PP_0570		
locus_0399	NC_002947.4	673520	673637	118	PP_0574			
locus_0400	NC_002947.4	674109	674413	305	PP_0575			
locus_0402	NC_002947.4	679018	679113	96	PP_0581	PP_0582	operon 76	
locus_0403	NC_002947.4	680392	680480	89		PP_0583		
locus_0404	NC_002947.4	683273	683439	167	PP_0584			
locus_0406	NC_002947.4	686686	686830	145	PP_0587	PP_0588	operon 77	
locus_0407	NC_002947.4	687029	687135	107		PP_0589		
locus_0409	NC_002947.4	688505	688954	450		PP_0590		
locus_0410	NC_002947.4	690637	690721	85	PP_0591			
locus_0411	NC_002947.4	691409	691776	368	PP_0592			
locus_0414	NC_002947.4	694042	694159	118	PP_0595	PP_0596	operon 78	
locus_0416	NC_002947.4	697074	697823	750		PP_16SD		
locus_0417	NC_002947.4	699346	699430	85		PP_t05		
locus_0419	NC_002947.4	699608	699850	243		PP_23SD		
locus_0420	NC_002947.4	702753	702883	131		PP_5SD		
locus_0421	NC_002947.4	703004	703261	258		PP_0598		operon 79
locus_0422	NC_002947.4	707349	707598	250	PP_0600	PP_0601		
locus_0423	NC_002947.4	709138	709255	118		PP_0602		operon 80
locus_0426	NC_002947.4	721196	721301	106	PP_0614			
locus_0428	NC_002947.4	725899	725988	90	PP_0619		operon 82	
locus_0429	NC_002947.4	726754	727019	266	PP_0620			
locus_0431	NC_002947.4	728365	728511	147	PP_0622	PP_0623		
locus_0432	NC_002947.4	730212	730460	249		PP_0625		
locus_0433	NC_002947.4	733026	733387	362		PP_t07		
locus_0437	NC_002947.4	733750	733754	5		PP_t11		operon 83
locus_0438	NC_002947.4	735317	735400	84	PP_0626			
locus_0439	NC_002947.4	735575	735706	132	PP_0627			
locus_0441	NC_002947.4	736824	736909	86	PP_5447	PP_0629		
locus_0442	NC_002947.4	740627	740842	216	PP_0633	PP_0634	operon 85	
locus_0444	NC_002947.4	741401	741899	499		PP_0635		
locus_0445	NC_002947.4	744336	744965	630	PP_0636			
locus_0447	NC_002947.4	746874	747666	793	PP_0638	PP_5448	operon 86	
locus_0449	NC_002947.4	750864	751006	143	PP_0640		operon 87	
locus_0450	NC_002947.4	751607	751980	374	PP_5450	PP_5451		
locus_0451	NC_002947.4	752762	753743	982	PP_0641	PP_5452		
locus_0452	NC_002947.4	754745	754911	167	PP_0643			
locus_0453	NC_002947.4	755155	755404	250	PP_0645	PP_0646		
locus_0454	NC_002947.4	757188	757378	191		PP_0648		
locus_0455	NC_002947.4	757835	757921	87		PP_0649		
locus_0456	NC_002947.4	758471	758578	108	PP_0650	PP_0651		
locus_0457	NC_002947.4	759029	759861	833		PP_5453		
locus_0458	NC_002947.4	761818	761968	151	PP_0653	PP_0654		
locus_0461	NC_002947.4	766342	766508	167		PP_0659		
locus_0462	NC_002947.4	767781	767922	142		PP_0660		operon 88
locus_0464	NC_002947.4	770293	770316	24		PP_0662		operon 89
locus_0465	NC_002947.4	772140	772337	198		PP_0664		operon 90
locus_0468	NC_002947.4	775192	775361	170		PP_0667		operon 91
locus_0469	NC_002947.4	776861	776950	90		PP_0669		
locus_0470	NC_002947.4	780471	780591	121	PP_0670			
locus_0471	NC_002947.4	781846	782094	249	PP_0671			
locus_0472	NC_002947.4	785926	786146	221	PP_0672	PP_0673		
locus_0473	NC_002947.4	786579	786882	304		PP_0674		
locus_0474	NC_002947.4	788551	788762	212		PP_0675		
locus_0476	NC_002947.4	791094	791194	101	PP_0677			
locus_0478	NC_002947.4	793636	793858	223	PP_0679	PP_0680	operon 92	
locus_0479	NC_002947.4	796298	796459	162		PP_0681		
locus_0480	NC_002947.4	796799	796987	189		PP_0682		
locus_0481	NC_002947.4	797477	797552	76		PP_0683		
locus_0482	NC_002947.4	797943	798027	85		PP_0684		
locus_0483	NC_002947.4	798918	799001	84	PP_0685			
locus_0484	NC_002947.4	799344	799503	160	PP_0686			
locus_0487	NC_002947.4	801328	801515	188		PP_0690		operon 93
locus_0488	NC_002947.4	802743	802827	85		PP_0691		
locus_0489	NC_002947.4	809358	809433	76	PP_0695	PP_0696	operon 94	
locus_0491	NC_002947.4	812252	812478	227	PP_0698	PP_0699		
locus_0492	NC_002947.4	813301	813395	95	PP_t70			
locus_0493	NC_002947.4	814383	814512	130	PP_0700	PP_0701		
locus_0494	NC_002947.4	815728	816051	324		PP_0702		
locus_0495	NC_002947.4	818676	818846	171	PP_0704	PP_0705		
locus_0499	NC_002947.4	826117	826208	92	PP_0709			
locus_0500	NC_002947.4	826599	826809	211	PP_0710	PP_0711		
locus_0501	NC_002947.4	827431	827536	106		PP_0712		
locus_0503	NC_002947.4	829586	829625	40		PP_0714		operon 95
locus_0505	NC_002947.4	836079	836254	176	PP_0718			
locus_0507	NC_002947.4	837965	838043	79	PP_0720			
locus_0509	NC_002947.4	839698	839745	48	PP_0722		operon 96	
locus_0513	NC_002947.4	843050	843517	468	PP_0725		operon 97	
locus_0514	NC_002947.4	847200	847258	59	PP_0729		operon 98	
locus_0516	NC_002947.4	850418	851221	804	PP_0731	PP_0732	operon 99	
locus_0517	NC_002947.4	855948	856051	104		PP_0737		
locus_0518	NC_002947.4	860672	860774	103	PP_0741		operon 101	
locus_0519	NC_002947.4	861762	861947	186	PP_0742	PP_0743		
locus_0521	NC_002947.4	865826	865987	162	PP_0746	PP_0747		
locus_0524	NC_002947.4	869588	870188	601	PP_0751			
locus_0525	NC_002947.4	870423	870567	145	PP_5456	PP_0753		
locus_0529	NC_002947.4	874264	874421	158		PP_0759		
locus_0530	NC_002947.4	875892	876159	268	PP_0760			
locus_0532	NC_002947.4	878179	878471	293	PP_0762	PP_0763		
locus_0533	NC_002947.4	880155	880485	331		PP_0765		operon 103
locus_0535	NC_002947.4	883763	884089	327		PP_0767		
locus_0536	NC_002947.4	886808	886966	159		PP_0768		operon 104
locus_0537	NC_002947.4	889264	889456	193		PP_0770		operon 105
locus_0539	NC_002947.4	890719	890836	118		PP_0773		
locus_0541	NC_002947.4	894533	894677	145		PP_0777		
locus_0542	NC_002947.4	896415	896568	154	PP_0778	PP_0779		
locus_0543	NC_002947.4	897910	898116	207		PP_0781		
locus_0544	NC_002947.4	898453	898924	472		PP_0782		
locus_0545	NC_002947.4	899549	899890	342		PP_0784		
locus_0546	NC_002947.4	901282	901611	330	PP_0785	PP_0786		
locus_0547	NC_002947.4	903499	903741	243	PP_0787	PP_0788		
locus_0548	NC_002947.4	905902	905989	88		PP_0789		operon 106
locus_0549	NC_002947.4	909209	909492	284	PP_0792	PP_0793		
locus_0551	NC_002947.4	917567	917764	198	PP_0798			
locus_0552	NC_002947.4	919100	919304	205	PP_0799			
locus_0553	NC_002947.4	919530	919719	190	PP_5458			
locus_0554	NC_002947.4	920763	920850	88	PP_0801		operon 108	
locus_0555	NC_002947.4	921751	921842	92	PP_0802			
locus_0556	NC_002947.4	926626	926688	63	PP_0805		operon 109	
locus_0557	NC_002947.4	945622	945811	190	PP_0806			
locus_0558	NC_002947.4	947369	947523	155	PP_0807	PP_0808		
locus_0559	NC_002947.4	948703	949158	456		PP_0809		
locus_0560	NC_002947.4	949666	950224	559		PP_0812		operon 110
locus_0564	NC_002947.4	955047	955358	312		PP_0817		operon 111
locus_0565	NC_002947.4	956568	956680	113		PP_0818		
locus_0566	NC_002947.4	957809	957969	161		PP_0819		
locus_0567	NC_002947.4	958354	958545	192		PP_0820		
locus_0568	NC_002947.4	959110	959195	86		PP_5460		
locus_0569	NC_002947.4	962415	962540	126	PP_0823	PP_0824		
locus_0570	NC_002947.4	966717	967034	318	PP_0828	PP_0829		
locus_0571	NC_002947.4	967822	967988	167	PP_0830			
locus_0572	NC_002947.4	968568	968897	330	PP_0831			
locus_0573	NC_002947.4	968983	969087	105	PP_t68	PP_0832		
locus_0574	NC_002947.4	970138	970151	14		PP_0833		operon 113
locus_0578	NC_002947.4	974491	974608	118		PP_0837		
locus_0579	NC_002947.4	976139	976289	151	PP_0838	PP_0839		
locus_0581	NC_002947.4	977835	978013	179		PP_0841		operon 114
locus_0589	NC_002947.4	983543	983630	88		PP_0849		operon 115
locus_0595	NC_002947.4	991263	991378	116		PP_0857		
locus_0596	NC_002947.4	992843	992993	151		PP_0858		operon 116
locus_0597	NC_002947.4	997596	997826	231	PP_0860			
locus_0598	NC_002947.4	1000119	1000339	221	PP_0861	PP_0862		
locus_0600	NC_002947.4	1002987	1003493	507	PP_0864	PP_0865		
locus_0601	NC_002947.4	1004963	1005070	108		PP_0867		
locus_0602	NC_002947.4	1011063	1011588	526	PP_0871	PP_0872	operon 118	
locus_0605	NC_002947.4	1016241	1016280	40	PP_0875		operon 119	
locus_0606	NC_002947.4	1017106	1017381	276	PP_0876			
locus_0607	NC_002947.4	1017862	1018091	230	PP_5461			
locus_0610	NC_002947.4	1021987	1022077	91	PP_0881			
locus_0612	NC_002947.4	1025147	1025374	228	PP_0883			
locus_0613	NC_002947.4	1026968	1027113	146	PP_0884		operon 120	
locus_0614	NC_002947.4	1028740	1029119	380	PP_0885			
locus_0615	NC_002947.4	1029837	1029942	106	PP_0886	PP_0887		
locus_0616	NC_002947.4	1031856	1031906	51		PP_0889		operon 121
locus_0619	NC_002947.4	1036181	1036295	115	PP_0894	PP_0895		
locus_0620	NC_002947.4	1039395	1039643	249	PP_0897	PP_0899		
locus_0621	NC_002947.4	1041335	1041517	183	PP_0900	PP_0901		
locus_0622	NC_002947.4	1043502	1043608	107		PP_0903		operon 122
locus_0624	NC_002947.4	1049600	1049754	155	PP_0907			
locus_0626	NC_002947.4	1053367	1053475	109	PP_0910		operon 123	
locus_0629	NC_002947.4	1055832	1055989	158	PP_0913			
locus_0630	NC_002947.4	1058072	1058290	219	PP_0914			
locus_0631	NC_002947.4	1058888	1059153	266	PP_0915			
locus_0632	NC_002947.4	1059769	1059854	86	PP_0916	PP_0917		
locus_0636	NC_002947.4	1064209	1064358	150	PP_0921	PP_0922		
locus_0637	NC_002947.4	1066600	1066759	160	PP_0924	PP_0925		
locus_0638	NC_002947.4	1067648	1067834	187		PP_0926		operon 124
locus_0641	NC_002947.4	1071821	1071946	126	PP_0929			
locus_0644	NC_002947.4	1075180	1075282	103	PP_0932	PP_0933	operon 125	
locus_0645	NC_002947.4	1076402	1076621	220		PP_0934		operon 126
locus_0648	NC_002947.4	1080264	1080345	82		PP_0938		
locus_0650	NC_002947.4	1087049	1087145	97	PP_0941	PP_0942		
locus_0651	NC_002947.4	1088505	1088757	253		PP_0943		operon 127
locus_0652	NC_002947.4	1090520	1090546	27		PP_0945		operon 128
locus_0655	NC_002947.4	1094488	1094566	79	PP_0951			
locus_0656	NC_002947.4	1096061	1096235	175	PP_0952		operon 129	
locus_0659	NC_002947.4	1099566	1099813	248	PP_0957	PP_0958	operon 130	
locus_0661	NC_002947.4	1102862	1102978	117		PP_0963		operon 132
locus_0663	NC_002947.4	1104508	1104598	91		PP_0965		
locus_0664	NC_002947.4	1105235	1105520	286		PP_0966		operon 133
locus_0665	NC_002947.4	1109253	1109334	82	PP_0968	PP_0969		
locus_0666	NC_002947.4	1111280	1111388	109		PP_0971		
locus_0668	NC_002947.4	1113155	1113523	369	PP_0973	PP_0975		
locus_0669	NC_002947.4	1114807	1114984	178	PP_0976			
locus_0670	NC_002947.4	1117832	1117914	83	PP_0977			
locus_0673	NC_002947.4	1120259	1120559	301	PP_0980	PP_0982	operon 134	
locus_0674	NC_002947.4	1123365	1124020	656	PP_0984			
locus_0676	NC_002947.4	1126547	1126694	148	PP_0987		operon 135	
locus_0678	NC_002947.4	1129946	1130248	303	PP_0989		operon 136	
locus_0681	NC_002947.4	1132617	1132887	271	PP_0993	PP_0994	operon 137	
locus_0682	NC_002947.4	1135339	1135465	127	PP_0996			
locus_0683	NC_002947.4	1136975	1137114	140	PP_0997			
