Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name
Pf6N2E2_24	TK06_RS00115	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_25	TK06_RS00120	DNA-binding response regulator, LuxR family	N2E2	P. fluorescens N2E2
Pf6N2E2_26	TK06_RS00125	Pirin	N2E2	P. fluorescens N2E2
Pf6N2E2_27	TK06_RS00130	Mechanosensitive ion channel	N2E2	P. fluorescens N2E2
Pf6N2E2_28	TK06_RS00135	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein	N2E2	P. fluorescens N2E2
Pf6N2E2_29	TK06_RS00140	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis @ FIG006045: Sigma factor, ECF subfamily	N2E2	P. fluorescens N2E2
Pf6N2E2_30	TK06_RS00145	Antisigma transmembrane sensor FpvR	N2E2	P. fluorescens N2E2
Pf6N2E2_31	TK06_RS00150	Iron(III) dicitrate transport protein FecA @ Iron siderophore receptor protein	N2E2	P. fluorescens N2E2
Pf6N2E2_32	TK06_RS00155	Membrane protein mosC	N2E2	P. fluorescens N2E2
Pf6N2E2_33	TK06_RS00160	Diaminopimelate epimerase (EC 5.1.1.7)	N2E2	P. fluorescens N2E2
Pf6N2E2_34	TK06_RS00165	Cytosine deaminase (EC 3.5.4.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_35	TK06_RS00170	Cytosine permease	N2E2	P. fluorescens N2E2
Pf6N2E2_36	TK06_RS00175	Possible oxidoreductase	N2E2	P. fluorescens N2E2
Pf6N2E2_37	TK06_RS00180	6-carboxytetrahydropterin synthase (EC 4.1.2.50) @ Queuosine biosynthesis QueD, PTPS-I	N2E2	P. fluorescens N2E2
Pf6N2E2_38	TK06_RS00185	FIG00954456: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_39	TK06_RS00190	FIG00857858: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_40	TK06_RS00195	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_41	TK06_RS00200	Two-component system response regulator QseB	N2E2	P. fluorescens N2E2
Pf6N2E2_42	TK06_RS00205	Sensor protein PhoQ (EC 2.7.13.3)	N2E2	P. fluorescens N2E2
Pf6N2E2_43	TK06_RS00210	Histidine permease YuiF	N2E2	P. fluorescens N2E2
Pf6N2E2_44	TK06_RS00215	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	N2E2	P. fluorescens N2E2
Pf6N2E2_45	TK06_RS00220	Putative protease	N2E2	P. fluorescens N2E2
Pf6N2E2_46	TK06_RS00225	membrane protein, putative	N2E2	P. fluorescens N2E2
Pf6N2E2_47	TK06_RS00230	FIG00961567: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_48	TK06_RS00235	FIG00955661: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_6095	TK06_RS00240	tRNA-Asn-GTT	N2E2	P. fluorescens N2E2
Pf6N2E2_49	TK06_RS00245	FIG00967200: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_50	TK06_RS00250	Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	N2E2	P. fluorescens N2E2
Pf6N2E2_52	TK06_RS00255	Excinuclease ABC subunit B	N2E2	P. fluorescens N2E2
Pf6N2E2_53	TK06_RS00260	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	N2E2	P. fluorescens N2E2
Pf6N2E2_6096	TK06_RS00265	tRNA-Ala-GGC	N2E2	P. fluorescens N2E2
Pf6N2E2_6097	TK06_RS00270	tRNA-Glu-TTC	N2E2	P. fluorescens N2E2
Pf6N2E2_6098	TK06_RS00275	tRNA-Ala-GGC	N2E2	P. fluorescens N2E2
Pf6N2E2_6099	TK06_RS00280	tRNA-Glu-TTC	N2E2	P. fluorescens N2E2
Pf6N2E2_54	TK06_RS00285	Transcriptional regulator, TetR family	N2E2	P. fluorescens N2E2
Pf6N2E2_55	TK06_RS00290	Probable hydrolase	N2E2	P. fluorescens N2E2
Pf6N2E2_56	TK06_RS00295	FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein	N2E2	P. fluorescens N2E2
Pf6N2E2_58	TK06_RS00300	tRNA-dihydrouridine synthase C (EC 1.-.-.-)	N2E2	P. fluorescens N2E2
Pf6N2E2_59	TK06_RS00305	16 kDa heat shock protein A	N2E2	P. fluorescens N2E2
Pf6N2E2_60	TK06_RS00310	Sensory box/GGDEF family protein	N2E2	P. fluorescens N2E2
Pf6N2E2_61	TK06_RS00315	Cys regulon transcriptional activator CysB	N2E2	P. fluorescens N2E2
Pf6N2E2_62	TK06_RS00320	Cys regulon transcriptional activator CysB	N2E2	P. fluorescens N2E2
Pf6N2E2_64	TK06_RS00325	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	N2E2	P. fluorescens N2E2
Pf6N2E2_65	TK06_RS00330	SAM-dependent methyltransferase YafE (UbiE paralog)	N2E2	P. fluorescens N2E2
Pf6N2E2_66	TK06_RS00335	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	N2E2	P. fluorescens N2E2
Pf6N2E2_67	TK06_RS00340	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	N2E2	P. fluorescens N2E2
Pf6N2E2_68	TK06_RS00345	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	N2E2	P. fluorescens N2E2
Pf6N2E2_69	TK06_RS00350	Probable type IV pilus assembly FimV-related transmembrane protein	N2E2	P. fluorescens N2E2
Pf6N2E2_70	TK06_RS00355	tRNA pseudouridine synthase A (EC 4.2.1.70)	N2E2	P. fluorescens N2E2
Pf6N2E2_71	TK06_RS00360	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	N2E2	P. fluorescens N2E2
Pf6N2E2_72	TK06_RS00365	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	N2E2	P. fluorescens N2E2
Pf6N2E2_73	TK06_RS00370	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)	N2E2	P. fluorescens N2E2
Pf6N2E2_74	TK06_RS00375	DedD protein	N2E2	P. fluorescens N2E2
Pf6N2E2_75	TK06_RS00380	Colicin V production protein	N2E2	P. fluorescens N2E2
Pf6N2E2_76	TK06_RS00385	Amidophosphoribosyltransferase (EC 2.4.2.14)	N2E2	P. fluorescens N2E2
Pf6N2E2_77	TK06_RS00390	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	N2E2	P. fluorescens N2E2
Pf6N2E2_78	TK06_RS00395	Oxidoreductase, short chain dehydrogenase/reductase family	N2E2	P. fluorescens N2E2
Pf6N2E2_6100	TK06_RS00400	tRNA-Val-TAC	N2E2	P. fluorescens N2E2
Pf6N2E2_6101	TK06_RS00405	tRNA-Asp-GTC	N2E2	P. fluorescens N2E2
Pf6N2E2_6102	TK06_RS00410	tRNA-Asp-GTC	N2E2	P. fluorescens N2E2
Pf6N2E2_79	TK06_RS00415	Mobile element protein	N2E2	P. fluorescens N2E2
Pf6N2E2_80	TK06_RS00420	Nucleoside-diphosphate-sugar epimerases	N2E2	P. fluorescens N2E2
Pf6N2E2_6103	TK06_RS00425	tRNA-Val-GAC	N2E2	P. fluorescens N2E2
Pf6N2E2_82	TK06_RS00440	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_83	TK06_RS00445	transcriptional regulator, AraC family	N2E2	P. fluorescens N2E2
Pf6N2E2_84	TK06_RS00455	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_85	TK06_RS00460	FIG045511: hypothetical antitoxin (to FIG022160: hypothetical toxin)	N2E2	P. fluorescens N2E2
Pf6N2E2_86	TK06_RS00465	FIG022160: hypothetical toxin	N2E2	P. fluorescens N2E2
Pf6N2E2_87	TK06_RS00470	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_90	TK06_RS00500	Lipoprotein, putative	N2E2	P. fluorescens N2E2
Pf6N2E2_91	TK06_RS00505	Transcriptional regulator, LysR family	N2E2	P. fluorescens N2E2
Pf6N2E2_92	TK06_RS00510	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_93	TK06_RS00515	probable membrane protein STY3606	N2E2	P. fluorescens N2E2
Pf6N2E2_94	TK06_RS00520	Cyn operon transcriptional activator	N2E2	P. fluorescens N2E2
Pf6N2E2_95	TK06_RS00525	putative oxygenase (putative secreted protein)	N2E2	P. fluorescens N2E2
Pf6N2E2_96	TK06_RS00530	FIG011065: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_97	TK06_RS00535	putataive branched-chain amino acid transport protein AzlC	N2E2	P. fluorescens N2E2
Pf6N2E2_98	TK06_RS00540	putative transmembrane protein	N2E2	P. fluorescens N2E2
Pf6N2E2_99	TK06_RS00545	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_100	TK06_RS00550	membrane protein, putative	N2E2	P. fluorescens N2E2
Pf6N2E2_101	TK06_RS00555	CigR (Putative inner membrane protein)	N2E2	P. fluorescens N2E2
Pf6N2E2_102	TK06_RS00560	sigma-54 dependent transcriptional regulator	N2E2	P. fluorescens N2E2
Pf6N2E2_103	TK06_RS00565	Various polyols ABC transporter, ATP-binding component	N2E2	P. fluorescens N2E2
Pf6N2E2_104	TK06_RS00570	Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	N2E2	P. fluorescens N2E2
Pf6N2E2_105	TK06_RS00575	Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)	N2E2	P. fluorescens N2E2
Pf6N2E2_106	TK06_RS00580	Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	N2E2	P. fluorescens N2E2
Pf6N2E2_107	TK06_RS00585	Probable transmembrane protein	N2E2	P. fluorescens N2E2
Pf6N2E2_108	TK06_RS00590	Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)	N2E2	P. fluorescens N2E2
Pf6N2E2_109	TK06_RS00595	Hydrolases of the alpha/beta superfamily	N2E2	P. fluorescens N2E2
Pf6N2E2_110	TK06_RS00600	Cellobiose phosphotransferase system YdjC-like protein	N2E2	P. fluorescens N2E2
Pf6N2E2_111	TK06_RS00605	FIG00954746: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_112	TK06_RS00610	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_113	TK06_RS00615	FIG00963512: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_114	TK06_RS00620	Polysaccharide biosynthesis protein	N2E2	P. fluorescens N2E2
Pf6N2E2_115	TK06_RS00625	FIG00958408: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_116	TK06_RS00630	Glycosyltransferase	N2E2	P. fluorescens N2E2
Pf6N2E2_117	TK06_RS00635	Glycosyl transferase, group 2 family protein	N2E2	P. fluorescens N2E2
Pf6N2E2_118	TK06_RS00640	FIG00961753: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_119	TK06_RS00645	Glycosyltransferase	N2E2	P. fluorescens N2E2
Pf6N2E2_120	TK06_RS00650	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	N2E2	P. fluorescens N2E2
Pf6N2E2_121	TK06_RS00655	probable polysaccharide biosynthesis protein	N2E2	P. fluorescens N2E2
Pf6N2E2_122	TK06_RS00660	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	N2E2	P. fluorescens N2E2
Pf6N2E2_123	TK06_RS00665	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	N2E2	P. fluorescens N2E2
Pf6N2E2_124	TK06_RS00670	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	N2E2	P. fluorescens N2E2
Pf6N2E2_125	TK06_RS00675	UDP-glucose dehydrogenase (EC 1.1.1.22)	N2E2	P. fluorescens N2E2
Pf6N2E2_126	TK06_RS00680	FIG00960892: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_127	TK06_RS00685	AttE component of AttEFGH ABC transport system	N2E2	P. fluorescens N2E2
Pf6N2E2_128	TK06_RS00690	AttF component of AttEFGH ABC transport system / AttG component of AttEFGH ABC transport system	N2E2	P. fluorescens N2E2
Pf6N2E2_129	TK06_RS00695	AttH component of AttEFGH ABC transport system	N2E2	P. fluorescens N2E2
Pf6N2E2_130	TK06_RS00700	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_132	TK06_RS00705	hcp	N2E2	P. fluorescens N2E2
Pf6N2E2_134	TK06_RS00710	FIG00960493: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_135	TK06_RS00715	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	N2E2	P. fluorescens N2E2
Pf6N2E2_136	TK06_RS00720	Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE	N2E2	P. fluorescens N2E2
Pf6N2E2_137	TK06_RS00725	Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	N2E2	P. fluorescens N2E2
Pf6N2E2_138	TK06_RS00730	Alpha/beta hydrolase fold (EC 3.8.1.5)	N2E2	P. fluorescens N2E2
Pf6N2E2_139	TK06_RS00735	Two-component response regulator	N2E2	P. fluorescens N2E2
Pf6N2E2_140	TK06_RS00740	Glutamate carboxypeptidase (EC 3.4.17.11)	N2E2	P. fluorescens N2E2
Pf6N2E2_141	TK06_RS00745	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_142	TK06_RS00750	Exodeoxyribonuclease III (EC 3.1.11.2)	N2E2	P. fluorescens N2E2
Pf6N2E2_143	TK06_RS00755	Histone acetyltransferase HPA2 and related acetyltransferases	N2E2	P. fluorescens N2E2
Pf6N2E2_144	TK06_RS00760	Uncharacterized protein YtfM precursor	N2E2	P. fluorescens N2E2
Pf6N2E2_145	TK06_RS00765	putative exported protein	N2E2	P. fluorescens N2E2
Pf6N2E2_146	TK06_RS00770	Transcriptional regulator, MarR family	N2E2	P. fluorescens N2E2
Pf6N2E2_147	TK06_RS00775	Outer membrane component of tripartite multidrug resistance system	N2E2	P. fluorescens N2E2
Pf6N2E2_148	TK06_RS00780	Membrane fusion component of tripartite multidrug resistance system	N2E2	P. fluorescens N2E2
Pf6N2E2_149	TK06_RS00785	Inner membrane component of tripartite multidrug resistance system	N2E2	P. fluorescens N2E2
Pf6N2E2_150	TK06_RS00790	UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)	N2E2	P. fluorescens N2E2
Pf6N2E2_151	TK06_RS00795	Peptidyl-prolyl cis-trans isomerase PpiB (EC 5.2.1.8)	N2E2	P. fluorescens N2E2
Pf6N2E2_153	TK06_RS00800	Glutaminyl-tRNA synthetase (EC 6.1.1.18)	N2E2	P. fluorescens N2E2
Pf6N2E2_154	TK06_RS00805	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	N2E2	P. fluorescens N2E2
Pf6N2E2_155	TK06_RS00810	Probable transmembrane protein	N2E2	P. fluorescens N2E2
Pf6N2E2_156	TK06_RS00815	Carbon storage regulator	N2E2	P. fluorescens N2E2
Pf6N2E2_157	TK06_RS00820	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_158	TK06_RS00825	Endonuclease I precursor (EC 3.1.21.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_159	TK06_RS00830	FIG00953874: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_160	TK06_RS00835	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_161	TK06_RS00840	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_162	TK06_RS00845	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_163	TK06_RS00850	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_164	TK06_RS00855	Ribose operon repressor	N2E2	P. fluorescens N2E2
Pf6N2E2_165	TK06_RS00860	Ribokinase (EC 2.7.1.15)	N2E2	P. fluorescens N2E2
Pf6N2E2_166	TK06_RS00865	Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_167	TK06_RS00870	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_168	TK06_RS00875	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_169	TK06_RS00880	FIG00955358: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_170	TK06_RS00885	lipoprotein, putative	N2E2	P. fluorescens N2E2
Pf6N2E2_171	TK06_RS00890	Cold shock protein CspG	N2E2	P. fluorescens N2E2
Pf6N2E2_172	TK06_RS00895	FIG00953292: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_173	TK06_RS00900	Threonyl-tRNA synthetase (EC 6.1.1.3)	N2E2	P. fluorescens N2E2
Pf6N2E2_174	TK06_RS00905	Translation initiation factor 3	N2E2	P. fluorescens N2E2
Pf6N2E2_175	TK06_RS00910	LSU ribosomal protein L35p	N2E2	P. fluorescens N2E2
Pf6N2E2_176	TK06_RS00915	LSU ribosomal protein L20p	N2E2	P. fluorescens N2E2
Pf6N2E2_177	TK06_RS00920	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	N2E2	P. fluorescens N2E2
Pf6N2E2_178	TK06_RS00925	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	N2E2	P. fluorescens N2E2
Pf6N2E2_179	TK06_RS00930	Integration host factor alpha subunit	N2E2	P. fluorescens N2E2
Pf6N2E2_180	TK06_RS00935	Transcriptional regulator, MerR family	N2E2	P. fluorescens N2E2
Pf6N2E2_6104	TK06_RS00940	tRNA-Pro-GGG	N2E2	P. fluorescens N2E2
Pf6N2E2_181	TK06_RS00945	Two-component response regulator	N2E2	P. fluorescens N2E2
Pf6N2E2_182	TK06_RS00950	Two-component hybrid sensor and regulator	N2E2	P. fluorescens N2E2
Pf6N2E2_183	TK06_RS00955	Urea ABC transporter, urea binding protein	N2E2	P. fluorescens N2E2
Pf6N2E2_184	TK06_RS00960	Urea ABC transporter, permease protein UrtB	N2E2	P. fluorescens N2E2
Pf6N2E2_185	TK06_RS00965	Urea ABC transporter, permease protein UrtC	N2E2	P. fluorescens N2E2
Pf6N2E2_186	TK06_RS00970	Urea ABC transporter, ATPase protein UrtD	N2E2	P. fluorescens N2E2
Pf6N2E2_187	TK06_RS00975	Urea ABC transporter, ATPase protein UrtE	N2E2	P. fluorescens N2E2
Pf6N2E2_188	TK06_RS00980	Formamidase (EC 3.5.1.49)	N2E2	P. fluorescens N2E2
Pf6N2E2_190	TK06_RS00985	Aliphatic amidase AmiE (EC 3.5.1.4)	N2E2	P. fluorescens N2E2
Pf6N2E2_191	TK06_RS00990	ClpB protein	N2E2	P. fluorescens N2E2
Pf6N2E2_192	TK06_RS00995	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_194	TK06_RS01000	Alcohol dehydrogenase (EC 1.1.1.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_195	TK06_RS01005	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_196	TK06_RS01010	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_197	TK06_RS01015	Death on curing protein, Doc toxin	N2E2	P. fluorescens N2E2
Pf6N2E2_199	TK06_RS01020	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_200	TK06_RS01025	Possible glycosyltransferase	N2E2	P. fluorescens N2E2
Pf6N2E2_201	TK06_RS01030	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	N2E2	P. fluorescens N2E2
Pf6N2E2_202	TK06_RS01035	4Fe-4S ferredoxin, iron-sulfur binding	N2E2	P. fluorescens N2E2
Pf6N2E2_203	TK06_RS01040	UDP-glucose 4-epimerase (EC 5.1.3.2)	N2E2	P. fluorescens N2E2
Pf6N2E2_204	TK06_RS01045	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_205	TK06_RS01050	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_206	TK06_RS01055	Glycosyl transferase, group 2 family protein	N2E2	P. fluorescens N2E2
Pf6N2E2_207	TK06_RS01060	related to dolichyl-phosphate mannose synthase	N2E2	P. fluorescens N2E2
Pf6N2E2_208	TK06_RS01065	Glycosyl transferase, group 2 family protein	N2E2	P. fluorescens N2E2
Pf6N2E2_209	TK06_RS01070	O-antigen export system permease protein RfbD	N2E2	P. fluorescens N2E2
Pf6N2E2_210	TK06_RS01075	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	N2E2	P. fluorescens N2E2
Pf6N2E2_211	TK06_RS01080	SanC	N2E2	P. fluorescens N2E2
Pf6N2E2_212	TK06_RS01085	Glycosyl transferase, group 2 family protein	N2E2	P. fluorescens N2E2
Pf6N2E2_213	TK06_RS01090	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_214	TK06_RS01095	dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL	N2E2	P. fluorescens N2E2
Pf6N2E2_215	TK06_RS01100	Outer membrane protein assembly factor YaeT precursor	N2E2	P. fluorescens N2E2
Pf6N2E2_216	TK06_RS01105	Copper-sensing two-component system response regulator CpxR	N2E2	P. fluorescens N2E2
Pf6N2E2_217	TK06_RS01110	Signal transduction histidine kinase	N2E2	P. fluorescens N2E2
Pf6N2E2_218	TK06_RS01115	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_219	TK06_RS01120	Response regulator BaeR	N2E2	P. fluorescens N2E2
Pf6N2E2_220	TK06_RS01125	Sensory histidine kinase BaeS	N2E2	P. fluorescens N2E2
Pf6N2E2_221	TK06_RS01130	RND efflux system, membrane fusion protein CmeA	N2E2	P. fluorescens N2E2
Pf6N2E2_222	TK06_RS01135	RND efflux system, inner membrane transporter CmeB	N2E2	P. fluorescens N2E2
Pf6N2E2_223	TK06_RS01140	RND efflux system, outer membrane lipoprotein CmeC	N2E2	P. fluorescens N2E2
Pf6N2E2_224	TK06_RS01145	transcription factor nitR	N2E2	P. fluorescens N2E2
Pf6N2E2_225	TK06_RS01150	Putative benzaldehyde dehydrogenase oxidoreductase protein (EC 1.2.1.28)	N2E2	P. fluorescens N2E2
Pf6N2E2_226	TK06_RS01155	2,3-dihydroxybiphenyl 1,2-dioxygenase	N2E2	P. fluorescens N2E2
Pf6N2E2_227	TK06_RS01160	3-(3-hydroxy-phenyl)propionate hydroxylase (EC 1.14.13.-)	N2E2	P. fluorescens N2E2
Pf6N2E2_228	TK06_RS01165	Transcriptional regulator, IclR family	N2E2	P. fluorescens N2E2
Pf6N2E2_229	TK06_RS01170	Putative fumarylacetoacetate (FAA) hydrolase	N2E2	P. fluorescens N2E2
Pf6N2E2_230	TK06_RS01175	lignostilbene-alpha,beta-dioxygenase	N2E2	P. fluorescens N2E2
Pf6N2E2_231	TK06_RS01180	FIG00956946: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_232	TK06_RS01185	Protein involved in meta-pathway of phenol degradation	N2E2	P. fluorescens N2E2
Pf6N2E2_233	TK06_RS01190	Transcriptional regulator, TetR family	N2E2	P. fluorescens N2E2
Pf6N2E2_234	TK06_RS01195	FIG00454312: hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_235	TK06_RS01200	L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_236	TK06_RS01205	putative transcriptional regulator protein	N2E2	P. fluorescens N2E2
Pf6N2E2_237	TK06_RS01210	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_239	TK06_RS01215	Fatty acid desaturase	N2E2	P. fluorescens N2E2
Pf6N2E2_240	TK06_RS01220	L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_241	TK06_RS01225	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_242	TK06_RS01230	Glycine betaine ABC transport system permease protein	N2E2	P. fluorescens N2E2
Pf6N2E2_243	TK06_RS01235	L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	N2E2	P. fluorescens N2E2
Pf6N2E2_244	TK06_RS01240	Nitrilotriacetate monooxygenase component A (EC 1.14.13.-)	N2E2	P. fluorescens N2E2
