Operon number	Sequence	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15	Genes_16
operon 87	NZ_CP015225.1	578285	579844	-	2	TK06_RS02540	TK06_RS02545														
operon 88	NZ_CP015225.1	582290	586379	+	4	TK06_RS02555	TK06_RS02560	TK06_RS02565	TK06_RS02570												
operon 89	NZ_CP015225.1	586528	590593	+	3	TK06_RS02575	TK06_RS02580	TK06_RS02585													
operon 90	NZ_CP015225.1	590940	593497	+	2	TK06_RS02590	TK06_RS02595														
operon 91	NZ_CP015225.1	597400	597954	-	2	TK06_RS02615	TK06_RS02620														
operon 92	NZ_CP015225.1	601734	607794	-	6	TK06_RS02650	TK06_RS02655	TK06_RS02660	TK06_RS02665	TK06_RS02670	TK06_RS02675										
operon 93	NZ_CP015225.1	613483	615342	-	2	TK06_RS02700	TK06_RS02705														
operon 94	NZ_CP015225.1	616158	625606	-	8	TK06_RS02715	TK06_RS02720	TK06_RS02725	TK06_RS02730	TK06_RS02735	TK06_RS02740	TK06_RS02745	TK06_RS02750								
operon 95	NZ_CP015225.1	625804	627875	-	2	TK06_RS02755	TK06_RS02760														
operon 96	NZ_CP015225.1	627890	635627	+	6	TK06_RS30515	TK06_RS02765	TK06_RS02770	TK06_RS02775	TK06_RS02780	TK06_RS02785										
operon 97	NZ_CP015225.1	644685	646408	-	2	TK06_RS02825	TK06_RS02830														
operon 98	NZ_CP015225.1	655017	663224	-	6	TK06_RS02875	TK06_RS02880	TK06_RS02885	TK06_RS02890	TK06_RS02895	TK06_RS02900										
operon 99	NZ_CP015225.1	663474	665789	-	2	TK06_RS02905	TK06_RS02910														
operon 100	NZ_CP015225.1	669026	670269	-	2	TK06_RS02935	TK06_RS02940														
operon 101	NZ_CP015225.1	671210	672881	+	2	TK06_RS02950	TK06_RS02955														
operon 102	NZ_CP015225.1	674239	680773	+	6	TK06_RS02965	TK06_RS02970	TK06_RS02975	TK06_RS02980	TK06_RS02985	TK06_RS02990										
operon 103	NZ_CP015225.1	681162	684633	+	2	TK06_RS02995	TK06_RS03000														
operon 104	NZ_CP015225.1	694827	697412	+	2	TK06_RS03025	TK06_RS03030														
operon 105	NZ_CP015225.1	697531	699031	+	2	TK06_RS03035	TK06_RS03040														
operon 106	NZ_CP015225.1	699810	705291	-	3	TK06_RS03050	TK06_RS03055	TK06_RS03060													
operon 107	NZ_CP015225.1	705629	712472	-	6	TK06_RS03065	TK06_RS03070	TK06_RS03075	TK06_RS03080	TK06_RS03085	TK06_RS03090										
operon 108	NZ_CP015225.1	714234	719455	-	5	TK06_RS03105	TK06_RS03110	TK06_RS03115	TK06_RS03120	TK06_RS03125											
operon 109	NZ_CP015225.1	731648	733801	+	3	TK06_RS03170	TK06_RS03175	TK06_RS03180													
operon 110	NZ_CP015225.1	733969	735029	-	2	TK06_RS03185	TK06_RS03190														
operon 111	NZ_CP015225.1	736222	741760	+	5	TK06_RS03205	TK06_RS03210	TK06_RS03215	TK06_RS03220	TK06_RS03225											
operon 112	NZ_CP015225.1	741933	744562	+	2	TK06_RS03230	TK06_RS03235														
operon 113	NZ_CP015225.1	762265	764312	-	2	TK06_RS03255	TK06_RS03260														
operon 114	NZ_CP015225.1	768952	774320	+	5	TK06_RS03285	TK06_RS03290	TK06_RS03295	TK06_RS03300	TK06_RS03305											
operon 115	NZ_CP015225.1	776215	781935	-	6	TK06_RS03320	TK06_RS03325	TK06_RS03330	TK06_RS03335	TK06_RS03340	TK06_RS03345										
operon 116	NZ_CP015225.1	783039	784528	-	2	TK06_RS03355	TK06_RS03360														
operon 117	NZ_CP015225.1	784720	786764	-	2	TK06_RS03365	TK06_RS03370														
operon 118	NZ_CP015225.1	797027	799713	+	2	TK06_RS03420	TK06_RS03425														
operon 119	NZ_CP015225.1	801515	808519	-	9	TK06_RS03435	TK06_RS03440	TK06_RS03445	TK06_RS03450	TK06_RS03455	TK06_RS03460	TK06_RS03465	TK06_RS03470	TK06_RS03475							
operon 120	NZ_CP015225.1	808710	810722	-	2	TK06_RS03480	TK06_RS03485														
operon 121	NZ_CP015225.1	810921	812562	+	3	TK06_RS03490	TK06_RS03495	TK06_RS03500													
operon 122	NZ_CP015225.1	812813	814684	+	2	TK06_RS03505	TK06_RS03510														
operon 123	NZ_CP015225.1	816709	817589	-	2	TK06_RS03520	TK06_RS03525														
operon 124	NZ_CP015225.1	818156	819809	+	2	TK06_RS03530	TK06_RS03535														
operon 125	NZ_CP015225.1	822406	824928	+	3	TK06_RS03550	TK06_RS03555	TK06_RS03560													
operon 126	NZ_CP015225.1	825010	827371	+	3	TK06_RS03565	TK06_RS03570	TK06_RS03575													
operon 127	NZ_CP015225.1	828743	831186	-	2	TK06_RS03585	TK06_RS03590														
operon 128	NZ_CP015225.1	831492	842977	+	8	TK06_RS03595	TK06_RS03600	TK06_RS03605	TK06_RS03610	TK06_RS03615	TK06_RS03620	TK06_RS03625	TK06_RS03630								
operon 129	NZ_CP015225.1	843255	846155	+	3	TK06_RS03635	TK06_RS03640	TK06_RS03645													
operon 130	NZ_CP015225.1	859541	860952	+	3	TK06_RS30530	TK06_RS03710	TK06_RS03715													
operon 131	NZ_CP015225.1	866960	870275	+	3	TK06_RS03740	TK06_RS03745	TK06_RS03750													
operon 132	NZ_CP015225.1	875512	877585	-	2	TK06_RS03775	TK06_RS03780														
operon 133	NZ_CP015225.1	878561	880654	-	3	TK06_RS03790	TK06_RS03795	TK06_RS03800													
operon 134	NZ_CP015225.1	880977	882061	-	2	TK06_RS03805	TK06_RS03810														
operon 135	NZ_CP015225.1	884233	885479	+	2	TK06_RS03820	TK06_RS03825														
operon 136	NZ_CP015225.1	885484	886739	-	2	TK06_RS03830	TK06_RS03835														
operon 137	NZ_CP015225.1	896431	900884	-	3	TK06_RS03870	TK06_RS03875	TK06_RS03880													
operon 138	NZ_CP015225.1	912130	920365	+	4	TK06_RS03910	TK06_RS03915	TK06_RS03920	TK06_RS03925												
operon 139	NZ_CP015225.1	928292	931182	-	2	TK06_RS03945	TK06_RS03950														
operon 140	NZ_CP015225.1	931382	932919	+	2	TK06_RS03955	TK06_RS03960														
operon 141	NZ_CP015225.1	935037	937475	-	2	TK06_RS03975	TK06_RS03980														
operon 142	NZ_CP015225.1	937682	942098	-	4	TK06_RS03985	TK06_RS03990	TK06_RS03995	TK06_RS04000												
operon 143	NZ_CP015225.1	944886	946627	-	2	TK06_RS04015	TK06_RS04020														
operon 144	NZ_CP015225.1	946888	953425	+	5	TK06_RS04025	TK06_RS04030	TK06_RS04035	TK06_RS04040	TK06_RS04045											
operon 145	NZ_CP015225.1	953693	956862	-	2	TK06_RS04050	TK06_RS04055														
operon 146	NZ_CP015225.1	958560	964426	-	3	TK06_RS04065	TK06_RS04070	TK06_RS04075													
operon 147	NZ_CP015225.1	967218	969320	+	2	TK06_RS04095	TK06_RS04100														
operon 148	NZ_CP015225.1	969378	971675	-	2	TK06_RS04105	TK06_RS04110														
operon 149	NZ_CP015225.1	971894	976080	+	2	TK06_RS04115	TK06_RS04120														
operon 150	NZ_CP015225.1	977661	982015	+	3	TK06_RS04130	TK06_RS04135	TK06_RS04140													
operon 151	NZ_CP015225.1	991394	993729	+	3	TK06_RS04185	TK06_RS04190	TK06_RS04195													
operon 152	NZ_CP015225.1	1001157	1003016	-	2	TK06_RS04225	TK06_RS04230														
operon 153	NZ_CP015225.1	1011922	1015140	+	4	TK06_RS04265	TK06_RS04270	TK06_RS04275	TK06_RS04280												
operon 154	NZ_CP015225.1	1018769	1020912	+	2	TK06_RS04300	TK06_RS04305														
operon 155	NZ_CP015225.1	1025206	1026948	-	3	TK06_RS04325	TK06_RS04330	TK06_RS04335													
operon 156	NZ_CP015225.1	1032960	1036458	-	3	TK06_RS04365	TK06_RS04370	TK06_RS04375													
operon 157	NZ_CP015225.1	1044733	1045860	-	2	TK06_RS04410	TK06_RS04415														
operon 158	NZ_CP015225.1	1046380	1048264	-	2	TK06_RS04425	TK06_RS04430														
operon 159	NZ_CP015225.1	1049160	1052135	-	3	TK06_RS04440	TK06_RS04445	TK06_RS04450													
operon 160	NZ_CP015225.1	1060242	1062514	+	3	TK06_RS04485	TK06_RS04490	TK06_RS04495													
operon 161	NZ_CP015225.1	1063519	1067794	-	2	TK06_RS04505	TK06_RS04510														
operon 162	NZ_CP015225.1	1078330	1080665	-	2	TK06_RS04550	TK06_RS04555														
operon 163	NZ_CP015225.1	1088837	1089848	+	2	TK06_RS04605	TK06_RS04610														
operon 164	NZ_CP015225.1	1089993	1091172	+	2	TK06_RS04615	TK06_RS04620														
operon 165	NZ_CP015225.1	1092292	1093382	-	2	TK06_RS04630	TK06_RS04635														
operon 166	NZ_CP015225.1	1099512	1101671	-	4	TK06_RS04660	TK06_RS04665	TK06_RS04670	TK06_RS04675												
operon 167	NZ_CP015225.1	1103259	1105221	-	2	TK06_RS04685	TK06_RS04690														
operon 168	NZ_CP015225.1	1108293	1109734	-	2	TK06_RS04710	TK06_RS04715														
operon 169	NZ_CP015225.1	1114202	1120055	+	3	TK06_RS04745	TK06_RS04750	TK06_RS04755													
operon 170	NZ_CP015225.1	1120572	1128033	-	9	TK06_RS04760	TK06_RS04765	TK06_RS04770	TK06_RS04775	TK06_RS04780	TK06_RS04785	TK06_RS04790	TK06_RS04795	TK06_RS04800							
operon 171	NZ_CP015225.1	1130844	1135942	-	6	TK06_RS04815	TK06_RS04820	TK06_RS30600	TK06_RS04830	TK06_RS04835	TK06_RS04840										
operon 172	NZ_CP015225.1	1142260	1143997	-	3	TK06_RS04880	TK06_RS04885	TK06_RS04890													
operon 173	NZ_CP015225.1	1144141	1148839	-	6	TK06_RS30605	TK06_RS04900	TK06_RS04905	TK06_RS04910	TK06_RS04915	TK06_RS04920										
operon 174	NZ_CP015225.1	1153214	1155231	-	3	TK06_RS04945	TK06_RS04950	TK06_RS04955													
operon 175	NZ_CP015225.1	1157806	1159590	-	2	TK06_RS04975	TK06_RS04980														
operon 176	NZ_CP015225.1	1159698	1161634	-	2	TK06_RS04985	TK06_RS04990														
operon 177	NZ_CP015225.1	1164695	1165889	-	2	TK06_RS05005	TK06_RS05010														
operon 178	NZ_CP015225.1	1170296	1172244	+	2	TK06_RS05040	TK06_RS05045														
operon 179	NZ_CP015225.1	1175648	1178249	+	2	TK06_RS05065	TK06_RS05070														
operon 180	NZ_CP015225.1	1184934	1187905	-	3	TK06_RS05110	TK06_RS05115	TK06_RS05120													
operon 181	NZ_CP015225.1	1189155	1189853	-	2	TK06_RS05130	TK06_RS05135														
operon 182	NZ_CP015225.1	1193879	1196022	-	2	TK06_RS05150	TK06_RS05155														
operon 183	NZ_CP015225.1	1196073	1199380	-	3	TK06_RS05160	TK06_RS05165	TK06_RS05170													
operon 184	NZ_CP015225.1	1199480	1201668	-	2	TK06_RS05175	TK06_RS05180														
operon 185	NZ_CP015225.1	1205425	1208087	+	3	TK06_RS05200	TK06_RS05205	TK06_RS05210													
operon 186	NZ_CP015225.1	1208134	1210156	+	3	TK06_RS05215	TK06_RS05220	TK06_RS05225													
operon 187	NZ_CP015225.1	1214067	1216204	+	2	TK06_RS05250	TK06_RS05255														
operon 188	NZ_CP015225.1	1220141	1221992	-	2	TK06_RS05280	TK06_RS05285														
operon 189	NZ_CP015225.1	1223116	1224467	+	2	TK06_RS05300	TK06_RS05305														
operon 190	NZ_CP015225.1	1224689	1226959	+	2	TK06_RS05310	TK06_RS05315														
operon 191	NZ_CP015225.1	1232393	1237114	+	3	TK06_RS05340	TK06_RS05345	TK06_RS05350													
operon 192	NZ_CP015225.1	1254266	1262879	-	5	TK06_RS05410	TK06_RS05415	TK06_RS05420	TK06_RS05425	TK06_RS05430											
operon 193	NZ_CP015225.1	1263441	1266412	-	4	TK06_RS05435	TK06_RS05440	TK06_RS05445	TK06_RS05450												
operon 194	NZ_CP015225.1	1278642	1280674	-	2	TK06_RS05490	TK06_RS05495														
operon 195	NZ_CP015225.1	1281875	1285028	+	4	TK06_RS05505	TK06_RS05510	TK06_RS05515	TK06_RS05520												
operon 196	NZ_CP015225.1	1285173	1286450	+	2	TK06_RS05525	TK06_RS05530														
operon 197	NZ_CP015225.1	1288309	1293063	-	4	TK06_RS05545	TK06_RS05550	TK06_RS05555	TK06_RS05560												
operon 198	NZ_CP015225.1	1306473	1309420	+	2	TK06_RS05605	TK06_RS05610														
operon 199	NZ_CP015225.1	1311735	1313683	-	2	TK06_RS05625	TK06_RS05630														
operon 200	NZ_CP015225.1	1318799	1320778	+	3	TK06_RS05645	TK06_RS05650	TK06_RS05655													
operon 201	NZ_CP015225.1	1320921	1326472	-	5	TK06_RS05660	TK06_RS05665	TK06_RS05670	TK06_RS05675	TK06_RS05680											
operon 202	NZ_CP015225.1	1327357	1331301	+	3	TK06_RS05690	TK06_RS05695	TK06_RS05700													
operon 203	NZ_CP015225.1	1333235	1335606	+	2	TK06_RS05720	TK06_RS05725														
operon 204	NZ_CP015225.1	1335759	1337802	+	3	TK06_RS05730	TK06_RS05735	TK06_RS05740													
operon 205	NZ_CP015225.1	1339629	1345199	+	5	TK06_RS05750	TK06_RS05755	TK06_RS05760	TK06_RS05765	TK06_RS05770											
operon 206	NZ_CP015225.1	1345431	1347692	-	2	TK06_RS05775	TK06_RS05780														
operon 207	NZ_CP015225.1	1348712	1352605	-	4	TK06_RS05790	TK06_RS05795	TK06_RS05800	TK06_RS05805												
operon 208	NZ_CP015225.1	1353678	1355042	-	2	TK06_RS05815	TK06_RS05820														
operon 209	NZ_CP015225.1	1359262	1360635	-	2	TK06_RS05840	TK06_RS05845														
operon 210	NZ_CP015225.1	1363003	1365593	-	2	TK06_RS05860	TK06_RS05865														
operon 211	NZ_CP015225.1	1373168	1373685	+	2	TK06_RS05910	TK06_RS05915														
operon 212	NZ_CP015225.1	1375292	1381113	+	5	TK06_RS05925	TK06_RS05930	TK06_RS05935	TK06_RS05940	TK06_RS05945											
operon 213	NZ_CP015225.1	1381239	1384094	+	3	TK06_RS05950	TK06_RS05955	TK06_RS05960													
operon 214	NZ_CP015225.1	1386415	1389943	-	3	TK06_RS05975	TK06_RS05980	TK06_RS05985													
operon 215	NZ_CP015225.1	1389990	1395161	-	5	TK06_RS05990	TK06_RS05995	TK06_RS06000	TK06_RS06005	TK06_RS06010											
operon 216	NZ_CP015225.1	1396443	1408689	+	9	TK06_RS06025	TK06_RS06030	TK06_RS06035	TK06_RS06040	TK06_RS06045	TK06_RS06050	TK06_RS06055	TK06_RS06060	TK06_RS06065							
operon 217	NZ_CP015225.1	1408829	1411552	+	2	TK06_RS06070	TK06_RS06075														
operon 218	NZ_CP015225.1	1413724	1416523	-	3	TK06_RS06090	TK06_RS06095	TK06_RS06100													
operon 219	NZ_CP015225.1	1421136	1427310	-	4	TK06_RS06130	TK06_RS06135	TK06_RS06140	TK06_RS06145												
operon 220	NZ_CP015225.1	1430181	1436138	-	3	TK06_RS06165	TK06_RS06170	TK06_RS06175													
operon 221	NZ_CP015225.1	1438735	1446572	-	5	TK06_RS06190	TK06_RS06195	TK06_RS06200	TK06_RS06205	TK06_RS06210											
operon 222	NZ_CP015225.1	1446712	1448663	-	2	TK06_RS06215	TK06_RS06220														
operon 223	NZ_CP015225.1	1458947	1459448	-	2	TK06_RS06290	TK06_RS06295														
operon 224	NZ_CP015225.1	1475736	1477057	+	2	TK06_RS06360	TK06_RS06365														
operon 225	NZ_CP015225.1	1487443	1490105	-	2	TK06_RS06405	TK06_RS06410														
operon 226	NZ_CP015225.1	1490330	1491039	-	2	TK06_RS06415	TK06_RS06420														
operon 227	NZ_CP015225.1	1494252	1495901	-	2	TK06_RS06450	TK06_RS06455														
operon 228	NZ_CP015225.1	1496196	1500772	-	2	TK06_RS06460	TK06_RS06465														
operon 229	NZ_CP015225.1	1500963	1505371	-	2	TK06_RS06470	TK06_RS06475														
operon 230	NZ_CP015225.1	1509370	1518400	-	9	TK06_RS06505	TK06_RS06510	TK06_RS06515	TK06_RS06520	TK06_RS06525	TK06_RS06530	TK06_RS06535	TK06_RS06540	TK06_RS06545							
operon 231	NZ_CP015225.1	1518857	1522014	-	3	TK06_RS06550	TK06_RS06555	TK06_RS06560													
operon 232	NZ_CP015225.1	1522610	1524939	-	2	TK06_RS30650	TK06_RS06565														
operon 233	NZ_CP015225.1	1527359	1529632	-	2	TK06_RS06575	TK06_RS06580														
operon 234	NZ_CP015225.1	1529947	1531972	+	2	TK06_RS06585	TK06_RS06590														
operon 235	NZ_CP015225.1	1532083	1534227	-	2	TK06_RS06595	TK06_RS06600														
operon 236	NZ_CP015225.1	1537147	1538984	-	2	TK06_RS06620	TK06_RS06625														
operon 237	NZ_CP015225.1	1541471	1544381	+	3	TK06_RS06645	TK06_RS06650	TK06_RS06655													
operon 238	NZ_CP015225.1	1545963	1548895	+	3	TK06_RS06670	TK06_RS06675	TK06_RS06680													
operon 239	NZ_CP015225.1	1553685	1554761	+	2	TK06_RS06705	TK06_RS06710														
operon 240	NZ_CP015225.1	1554840	1557214	+	3	TK06_RS06715	TK06_RS06720	TK06_RS06725													
operon 241	NZ_CP015225.1	1558472	1560536	-	2	TK06_RS06735	TK06_RS06740														
operon 242	NZ_CP015225.1	1565010	1568686	-	3	TK06_RS06760	TK06_RS06765	TK06_RS06770													
operon 243	NZ_CP015225.1	1571264	1572627	+	2	TK06_RS06785	TK06_RS06790														
operon 244	NZ_CP015225.1	1575198	1578780	-	4	TK06_RS06805	TK06_RS06810	TK06_RS06815	TK06_RS06820												
operon 245	NZ_CP015225.1	1582361	1587326	+	6	TK06_RS06840	TK06_RS06845	TK06_RS06850	TK06_RS06855	TK06_RS06860	TK06_RS06865										
operon 246	NZ_CP015225.1	1587348	1588752	-	3	TK06_RS06870	TK06_RS06875	TK06_RS06880													
operon 247	NZ_CP015225.1	1591581	1595605	+	3	TK06_RS06900	TK06_RS30655	TK06_RS06905													
