locusId	sysName	scaffoldId	begin	end	strand	type	desc
TK06_RS00205	Pf6N2E2_42	NZ_CP015225.1	79785	81098	+	1	Sensor protein PhoQ (EC 2.7.13.3)
TK06_RS00210	Pf6N2E2_43	NZ_CP015225.1	81349	82668	+	1	Histidine permease YuiF
TK06_RS00215	Pf6N2E2_44	NZ_CP015225.1	82928	84607	+	1	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)
TK06_RS00220	Pf6N2E2_45	NZ_CP015225.1	84785	86116	-	1	Putative protease
TK06_RS00225	Pf6N2E2_46	NZ_CP015225.1	86264	87325	+	1	membrane protein, putative
TK06_RS00230	Pf6N2E2_47	NZ_CP015225.1	87322	87504	-	1	FIG00961567: hypothetical protein
TK06_RS00235	Pf6N2E2_48	NZ_CP015225.1	87594	87788	-	1	FIG00955661: hypothetical protein
TK06_RS00240	Pf6N2E2_6095	NZ_CP015225.1	88037	88112	-	5	tRNA-Asn-GTT
TK06_RS00245	Pf6N2E2_49	NZ_CP015225.1	88348	88575	+	1	FIG00967200: hypothetical protein
TK06_RS00250	Pf6N2E2_50	NZ_CP015225.1	88788	89984	-	1	Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aromatic-amino-acid aminotransferase (EC 2.6.1.57)
TK06_RS00255	Pf6N2E2_52	NZ_CP015225.1	90316	92331	+	1	Excinuclease ABC subunit B
TK06_RS00260	Pf6N2E2_53	NZ_CP015225.1	92556	94037	+	1	Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
TK06_RS00265	Pf6N2E2_6096	NZ_CP015225.1	94184	94259	+	5	tRNA-Ala-GGC
TK06_RS00270	Pf6N2E2_6097	NZ_CP015225.1	94339	94414	+	5	tRNA-Glu-TTC
TK06_RS00275	Pf6N2E2_6098	NZ_CP015225.1	94468	94543	+	5	tRNA-Ala-GGC
TK06_RS00280	Pf6N2E2_6099	NZ_CP015225.1	94619	94694	+	5	tRNA-Glu-TTC
TK06_RS00285	Pf6N2E2_54	NZ_CP015225.1	94876	95415	+	1	Transcriptional regulator, TetR family
TK06_RS00290	Pf6N2E2_55	NZ_CP015225.1	95444	96277	+	1	Probable hydrolase
TK06_RS00295	Pf6N2E2_56	NZ_CP015225.1	96323	96772	+	1	FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein
TK06_RS00300	Pf6N2E2_58	NZ_CP015225.1	96886	97845	+	1	tRNA-dihydrouridine synthase C (EC 1.-.-.-)
TK06_RS00305	Pf6N2E2_59	NZ_CP015225.1	97966	98418	+	1	16 kDa heat shock protein A
TK06_RS00310	Pf6N2E2_60	NZ_CP015225.1	98612	101890	-	1	Sensory box/GGDEF family protein
TK06_RS00315	Pf6N2E2_61	NZ_CP015225.1	101960	102852	-	1	Cys regulon transcriptional activator CysB
TK06_RS00320	Pf6N2E2_62	NZ_CP015225.1	103010	104428	+	1	Cys regulon transcriptional activator CysB
TK06_RS00325	Pf6N2E2_64	NZ_CP015225.1	104440	105084	+	1	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)
TK06_RS00330	Pf6N2E2_65	NZ_CP015225.1	105223	105987	+	1	SAM-dependent methyltransferase YafE (UbiE paralog)
TK06_RS00335	Pf6N2E2_66	NZ_CP015225.1	106054	107136	+	1	3-isopropylmalate dehydrogenase (EC 1.1.1.85)
TK06_RS00340	Pf6N2E2_67	NZ_CP015225.1	107191	108303	+	1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
TK06_RS00345	Pf6N2E2_68	NZ_CP015225.1	108457	109467	+	1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
TK06_RS00350	Pf6N2E2_69	NZ_CP015225.1	109678	112272	+	1	Probable type IV pilus assembly FimV-related transmembrane protein
TK06_RS30430	TK06_RS30430	NZ_CP015225.1	112357	112605	+	1	hypothetical protein
TK06_RS00355	Pf6N2E2_70	NZ_CP015225.1	112640	113464	+	1	tRNA pseudouridine synthase A (EC 4.2.1.70)
TK06_RS00360	Pf6N2E2_71	NZ_CP015225.1	113528	114160	+	1	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)
TK06_RS00365	Pf6N2E2_72	NZ_CP015225.1	114413	115333	+	1	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)
TK06_RS00370	Pf6N2E2_73	NZ_CP015225.1	115330	116637	+	1	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
TK06_RS00375	Pf6N2E2_74	NZ_CP015225.1	116621	117295	+	1	DedD protein
TK06_RS00380	Pf6N2E2_75	NZ_CP015225.1	117385	117945	+	1	Colicin V production protein
TK06_RS00385	Pf6N2E2_76	NZ_CP015225.1	117987	119492	+	1	Amidophosphoribosyltransferase (EC 2.4.2.14)
TK06_RS00390	Pf6N2E2_77	NZ_CP015225.1	119551	120762	+	1	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)
TK06_RS00395	Pf6N2E2_78	NZ_CP015225.1	120759	121532	+	1	Oxidoreductase, short chain dehydrogenase/reductase family
TK06_RS00400	Pf6N2E2_6100	NZ_CP015225.1	121701	121776	+	5	tRNA-Val-TAC
TK06_RS00405	Pf6N2E2_6101	NZ_CP015225.1	121835	121911	+	5	tRNA-Asp-GTC
TK06_RS00410	Pf6N2E2_6102	NZ_CP015225.1	122002	122078	+	5	tRNA-Asp-GTC
TK06_RS00415	Pf6N2E2_79	NZ_CP015225.1	122508	123776	+	1	Mobile element protein
TK06_RS00420	Pf6N2E2_80	NZ_CP015225.1	123820	125103	-	1	Nucleoside-diphosphate-sugar epimerases
TK06_RS00425	Pf6N2E2_6103	NZ_CP015225.1	125287	125363	+	5	tRNA-Val-GAC
TK06_RS00430	TK06_RS00430	NZ_CP015225.1	125449	126093	+	1	hypothetical protein
TK06_RS00435	TK06_RS00435	NZ_CP015225.1	126555	126968	-	1	transcriptional regulator
TK06_RS00440	Pf6N2E2_82	NZ_CP015225.1	126999	127193	-	1	hypothetical protein
TK06_RS00445	Pf6N2E2_83	NZ_CP015225.1	127513	128382	-	1	transcriptional regulator, AraC family
TK06_RS00450	TK06_RS00450	NZ_CP015225.1	128719	129336	+	1	hypothetical protein
TK06_RS00455	Pf6N2E2_84	NZ_CP015225.1	129585	129857	+	1	hypothetical protein
TK06_RS00460	Pf6N2E2_85	NZ_CP015225.1	129986	130294	-	1	FIG045511: hypothetical antitoxin (to FIG022160: hypothetical toxin)
TK06_RS31390	TK06_RS31390	NZ_CP015225.1	130297	130568	-	1	addiction module antitoxin RelB
TK06_RS00470	Pf6N2E2_87	NZ_CP015225.1	130852	131397	+	1	hypothetical protein
TK06_RS00475	TK06_RS00475	NZ_CP015225.1	132657	132857	+	1	hypothetical protein
TK06_RS00480	TK06_RS00480	NZ_CP015225.1	133055	133492	+	1	hypothetical protein
TK06_RS00485	TK06_RS00485	NZ_CP015225.1	133867	134373	+	1	AAA family ATPase
TK06_RS00490	TK06_RS00490	NZ_CP015225.1	134627	134839	+	1	hypothetical protein
TK06_RS00495	TK06_RS00495	NZ_CP015225.1	135090	135296	-	1	hypothetical protein
TK06_RS00500	Pf6N2E2_90	NZ_CP015225.1	135485	136639	+	1	Lipoprotein, putative
TK06_RS00505	Pf6N2E2_91	NZ_CP015225.1	136781	137665	-	1	Transcriptional regulator, LysR family
TK06_RS00510	Pf6N2E2_92	NZ_CP015225.1	137772	138221	+	1	hypothetical protein
TK06_RS30440	TK06_RS30440	NZ_CP015225.1	138269	138475	-	1	hypothetical protein
TK06_RS00515	Pf6N2E2_93	NZ_CP015225.1	138950	139378	-	1	probable membrane protein STY3606
TK06_RS00520	Pf6N2E2_94	NZ_CP015225.1	139673	140587	-	1	Cyn operon transcriptional activator
TK06_RS00525	Pf6N2E2_95	NZ_CP015225.1	140697	141782	+	1	putative oxygenase (putative secreted protein)
TK06_RS00530	Pf6N2E2_96	NZ_CP015225.1	141787	142551	+	1	FIG011065: hypothetical protein
TK06_RS00535	Pf6N2E2_97	NZ_CP015225.1	142645	143355	+	1	putataive branched-chain amino acid transport protein AzlC
TK06_RS00540	Pf6N2E2_98	NZ_CP015225.1	143352	143660	+	1	putative transmembrane protein
TK06_RS00545	Pf6N2E2_99	NZ_CP015225.1	143714	143920	-	1	hypothetical protein
TK06_RS00550	Pf6N2E2_100	NZ_CP015225.1	144153	145364	-	1	membrane protein, putative
TK06_RS00555	Pf6N2E2_101	NZ_CP015225.1	145493	146005	+	1	CigR (Putative inner membrane protein)
TK06_RS31395	TK06_RS31395	NZ_CP015225.1	146033	146128	-	1	manganese ABC transporter ATP-binding protein
TK06_RS30445	TK06_RS30445	NZ_CP015225.1	146215	146415	+	1	hypothetical protein
TK06_RS00560	Pf6N2E2_102	NZ_CP015225.1	146344	148188	-	1	sigma-54 dependent transcriptional regulator
TK06_RS00565	Pf6N2E2_103	NZ_CP015225.1	148544	149638	+	1	Various polyols ABC transporter, ATP-binding component
TK06_RS00570	Pf6N2E2_104	NZ_CP015225.1	149638	150747	+	1	Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)
TK06_RS00575	Pf6N2E2_105	NZ_CP015225.1	150744	151610	+	1	Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)
TK06_RS00580	Pf6N2E2_106	NZ_CP015225.1	151621	152421	+	1	Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)
TK06_RS00585	Pf6N2E2_107	NZ_CP015225.1	152432	152704	+	1	Probable transmembrane protein
TK06_RS00590	Pf6N2E2_108	NZ_CP015225.1	152753	154495	+	1	Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)
TK06_RS00595	Pf6N2E2_109	NZ_CP015225.1	154615	155499	-	1	Hydrolases of the alpha/beta superfamily
TK06_RS00600	Pf6N2E2_110	NZ_CP015225.1	155679	156473	-	1	Cellobiose phosphotransferase system YdjC-like protein
TK06_RS00605	Pf6N2E2_111	NZ_CP015225.1	156445	157620	-	1	FIG00954746: hypothetical protein
TK06_RS00610	Pf6N2E2_112	NZ_CP015225.1	157626	158315	-	1	hypothetical protein
TK06_RS00615	Pf6N2E2_113	NZ_CP015225.1	158312	160333	-	1	FIG00963512: hypothetical protein
TK06_RS00620	Pf6N2E2_114	NZ_CP015225.1	160330	161634	-	1	Polysaccharide biosynthesis protein
TK06_RS00625	Pf6N2E2_115	NZ_CP015225.1	161631	162635	-	1	FIG00958408: hypothetical protein
TK06_RS00630	Pf6N2E2_116	NZ_CP015225.1	162648	163784	-	1	Glycosyltransferase
TK06_RS00635	Pf6N2E2_117	NZ_CP015225.1	163777	164736	-	1	Glycosyl transferase, group 2 family protein
TK06_RS00640	Pf6N2E2_118	NZ_CP015225.1	164733	166103	-	1	FIG00961753: hypothetical protein
TK06_RS00645	Pf6N2E2_119	NZ_CP015225.1	166100	167203	-	1	Glycosyltransferase
TK06_RS00650	Pf6N2E2_120	NZ_CP015225.1	167200	168792	-	1	Tyrosine-protein kinase Wzc (EC 2.7.10.2)
TK06_RS00655	Pf6N2E2_121	NZ_CP015225.1	168810	169832	-	1	probable polysaccharide biosynthesis protein
TK06_RS00660	Pf6N2E2_122	NZ_CP015225.1	169853	170497	-	1	Tyrosine-protein kinase Wzc (EC 2.7.10.2)
TK06_RS00665	Pf6N2E2_123	NZ_CP015225.1	170498	171244	-	1	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)
TK06_RS00670	Pf6N2E2_124	NZ_CP015225.1	171231	172310	-	1	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)
TK06_RS00675	Pf6N2E2_125	NZ_CP015225.1	172307	173671	-	1	UDP-glucose dehydrogenase (EC 1.1.1.22)
TK06_RS00680	Pf6N2E2_126	NZ_CP015225.1	174048	175745	+	1	FIG00960892: hypothetical protein
TK06_RS30450	TK06_RS30450	NZ_CP015225.1	176149	176370	-	1	hypothetical protein
TK06_RS00685	Pf6N2E2_127	NZ_CP015225.1	176445	177113	+	1	AttE component of AttEFGH ABC transport system
TK06_RS00690	Pf6N2E2_128	NZ_CP015225.1	177110	179581	+	1	AttF component of AttEFGH ABC transport system / AttG component of AttEFGH ABC transport system
TK06_RS00695	Pf6N2E2_129	NZ_CP015225.1	179571	180644	+	1	AttH component of AttEFGH ABC transport system
TK06_RS00700	Pf6N2E2_130	NZ_CP015225.1	180710	180952	+	1	hypothetical protein
TK06_RS00705	Pf6N2E2_132	NZ_CP015225.1	181377	181895	-	1	hcp
TK06_RS00710	Pf6N2E2_134	NZ_CP015225.1	182193	183569	-	1	FIG00960493: hypothetical protein
TK06_RS00715	Pf6N2E2_135	NZ_CP015225.1	183658	184878	-	1	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF
TK06_RS00720	Pf6N2E2_136	NZ_CP015225.1	185041	186099	-	1	Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE
TK06_RS00725	Pf6N2E2_137	NZ_CP015225.1	186099	187598	-	1	Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD
TK06_RS00730	Pf6N2E2_138	NZ_CP015225.1	187665	188594	-	1	Alpha/beta hydrolase fold (EC 3.8.1.5)
TK06_RS00735	Pf6N2E2_139	NZ_CP015225.1	188892	189977	+	1	Two-component response regulator
TK06_RS00740	Pf6N2E2_140	NZ_CP015225.1	190063	191301	+	1	Glutamate carboxypeptidase (EC 3.4.17.11)
TK06_RS31400	TK06_RS31400	NZ_CP015225.1	191495	191717	-	1	hypothetical protein
TK06_RS31405	TK06_RS31405	NZ_CP015225.1	191969	192161	+	1	hypothetical protein
TK06_RS00745	Pf6N2E2_141	NZ_CP015225.1	192205	193539	-	1	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
TK06_RS00750	Pf6N2E2_142	NZ_CP015225.1	193732	194544	-	1	Exodeoxyribonuclease III (EC 3.1.11.2)
TK06_RS00755	Pf6N2E2_143	NZ_CP015225.1	194722	195372	+	1	Histone acetyltransferase HPA2 and related acetyltransferases
TK06_RS00760	Pf6N2E2_144	NZ_CP015225.1	195438	197165	+	1	Uncharacterized protein YtfM precursor
TK06_RS00765	Pf6N2E2_145	NZ_CP015225.1	197162	200836	+	1	putative exported protein
TK06_RS00770	Pf6N2E2_146	NZ_CP015225.1	201072	201547	+	1	Transcriptional regulator, MarR family
TK06_RS00775	Pf6N2E2_147	NZ_CP015225.1	201544	203013	+	1	Outer membrane component of tripartite multidrug resistance system
TK06_RS00780	Pf6N2E2_148	NZ_CP015225.1	203029	204225	+	1	Membrane fusion component of tripartite multidrug resistance system
TK06_RS00785	Pf6N2E2_149	NZ_CP015225.1	204500	206029	+	1	Inner membrane component of tripartite multidrug resistance system
TK06_RS00790	Pf6N2E2_150	NZ_CP015225.1	206185	206940	-	1	UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)
TK06_RS00795	Pf6N2E2_151	NZ_CP015225.1	206937	207440	-	1	Peptidyl-prolyl cis-trans isomerase PpiB (EC 5.2.1.8)
TK06_RS00800	Pf6N2E2_153	NZ_CP015225.1	207690	209390	+	1	Glutaminyl-tRNA synthetase (EC 6.1.1.18)
TK06_RS00805	Pf6N2E2_154	NZ_CP015225.1	209411	210793	+	1	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
TK06_RS31410	TK06_RS31410	NZ_CP015225.1	210697	210945	+	1	hypothetical protein
TK06_RS00810	Pf6N2E2_155	NZ_CP015225.1	210992	211447	+	1	Probable transmembrane protein
TK06_RS00815	Pf6N2E2_156	NZ_CP015225.1	211638	211832	-	1	Carbon storage regulator
TK06_RS00820	Pf6N2E2_157	NZ_CP015225.1	212080	212445	+	1	hypothetical protein
TK06_RS00825	Pf6N2E2_158	NZ_CP015225.1	212509	213198	-	1	Endonuclease I precursor (EC 3.1.21.1)
TK06_RS00830	Pf6N2E2_159	NZ_CP015225.1	213204	213482	-	1	FIG00953874: hypothetical protein
TK06_RS00835	Pf6N2E2_160	NZ_CP015225.1	213701	214147	+	1	hypothetical protein
TK06_RS00840	Pf6N2E2_161	NZ_CP015225.1	214281	215237	+	1	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)
TK06_RS00845	Pf6N2E2_162	NZ_CP015225.1	215296	216849	+	1	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)
TK06_RS00850	Pf6N2E2_163	NZ_CP015225.1	216846	217823	+	1	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)
TK06_RS00855	Pf6N2E2_164	NZ_CP015225.1	217827	218846	+	1	Ribose operon repressor
TK06_RS00860	Pf6N2E2_165	NZ_CP015225.1	218870	219784	+	1	Ribokinase (EC 2.7.1.15)
TK06_RS00865	Pf6N2E2_166	NZ_CP015225.1	219781	220185	+	1	Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)
TK06_RS00870	Pf6N2E2_167	NZ_CP015225.1	220216	221244	+	1	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
TK06_RS00875	Pf6N2E2_168	NZ_CP015225.1	221293	221490	-	1	hypothetical protein
TK06_RS00880	Pf6N2E2_169	NZ_CP015225.1	221619	221924	+	1	FIG00955358: hypothetical protein
TK06_RS00885	Pf6N2E2_170	NZ_CP015225.1	222087	222401	+	1	lipoprotein, putative
TK06_RS00890	Pf6N2E2_171	NZ_CP015225.1	222470	222682	-	1	Cold shock protein CspG
TK06_RS00895	Pf6N2E2_172	NZ_CP015225.1	222972	223274	-	1	FIG00953292: hypothetical protein
TK06_RS00900	Pf6N2E2_173	NZ_CP015225.1	223646	225568	+	1	Threonyl-tRNA synthetase (EC 6.1.1.3)
TK06_RS00905	Pf6N2E2_174	NZ_CP015225.1	225586	226119	+	1	Translation initiation factor 3
TK06_RS00910	Pf6N2E2_175	NZ_CP015225.1	226180	226374	+	1	LSU ribosomal protein L35p
TK06_RS00915	Pf6N2E2_176	NZ_CP015225.1	226405	226761	+	1	LSU ribosomal protein L20p
TK06_RS00920	Pf6N2E2_177	NZ_CP015225.1	226871	227887	+	1	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
TK06_RS00925	Pf6N2E2_178	NZ_CP015225.1	227923	230301	+	1	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
TK06_RS00930	Pf6N2E2_179	NZ_CP015225.1	230305	230607	+	1	Integration host factor alpha subunit
TK06_RS00935	Pf6N2E2_180	NZ_CP015225.1	230588	230944	+	1	Transcriptional regulator, MerR family
TK06_RS00940	Pf6N2E2_6104	NZ_CP015225.1	231035	231111	+	5	tRNA-Pro-GGG
TK06_RS00945	Pf6N2E2_181	NZ_CP015225.1	231302	231994	-	1	Two-component response regulator
TK06_RS00950	Pf6N2E2_182	NZ_CP015225.1	231969	235361	-	1	Two-component hybrid sensor and regulator
TK06_RS00955	Pf6N2E2_183	NZ_CP015225.1	235682	236926	+	1	Urea ABC transporter, urea binding protein
TK06_RS00960	Pf6N2E2_184	NZ_CP015225.1	237073	237954	+	1	Urea ABC transporter, permease protein UrtB
TK06_RS00965	Pf6N2E2_185	NZ_CP015225.1	237965	239152	+	1	Urea ABC transporter, permease protein UrtC
TK06_RS00970	Pf6N2E2_186	NZ_CP015225.1	239149	239907	+	1	Urea ABC transporter, ATPase protein UrtD
TK06_RS00975	Pf6N2E2_187	NZ_CP015225.1	239918	240607	+	1	Urea ABC transporter, ATPase protein UrtE
TK06_RS00980	Pf6N2E2_188	NZ_CP015225.1	240740	241969	+	1	Formamidase (EC 3.5.1.49)
TK06_RS30455	TK06_RS30455	NZ_CP015225.1	242006	242353	+	1	zinc ribbon domain-containing protein
TK06_RS00985	Pf6N2E2_190	NZ_CP015225.1	242368	243411	+	1	Aliphatic amidase AmiE (EC 3.5.1.4)
TK06_RS00990	Pf6N2E2_191	NZ_CP015225.1	243415	244458	+	1	ClpB protein
TK06_RS00995	Pf6N2E2_192	NZ_CP015225.1	244676	246115	-	1	hypothetical protein
TK06_RS01000	Pf6N2E2_194	NZ_CP015225.1	246529	247569	+	1	Alcohol dehydrogenase (EC 1.1.1.1)
TK06_RS01005	Pf6N2E2_195	NZ_CP015225.1	247566	249587	-	1	hypothetical protein
TK06_RS01010	Pf6N2E2_196	NZ_CP015225.1	249712	249948	+	1	hypothetical protein
TK06_RS01015	Pf6N2E2_197	NZ_CP015225.1	249945	250262	+	1	Death on curing protein, Doc toxin
TK06_RS01020	Pf6N2E2_199	NZ_CP015225.1	250537	250800	-	1	hypothetical protein
TK06_RS01025	Pf6N2E2_200	NZ_CP015225.1	250861	251967	-	1	Possible glycosyltransferase
TK06_RS01030	Pf6N2E2_201	NZ_CP015225.1	251958	253067	-	1	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)
TK06_RS01035	Pf6N2E2_202	NZ_CP015225.1	253064	254650	-	1	4Fe-4S ferredoxin, iron-sulfur binding
TK06_RS01040	Pf6N2E2_203	NZ_CP015225.1	254640	255920	-	1	UDP-glucose 4-epimerase (EC 5.1.3.2)
TK06_RS01045	Pf6N2E2_204	NZ_CP015225.1	255923	256330	-	1	hypothetical protein
TK06_RS01050	Pf6N2E2_205	NZ_CP015225.1	256327	257073	-	1	hypothetical protein
TK06_RS01055	Pf6N2E2_206	NZ_CP015225.1	257106	258128	-	1	Glycosyl transferase, group 2 family protein
TK06_RS01060	Pf6N2E2_207	NZ_CP015225.1	258141	260597	-	1	related to dolichyl-phosphate mannose synthase
TK06_RS31415	TK06_RS31415	NZ_CP015225.1	260603	260740	-	1	aldo/keto reductase
TK06_RS01065	Pf6N2E2_208	NZ_CP015225.1	260782	263229	-	1	Glycosyl transferase, group 2 family protein
TK06_RS01070	Pf6N2E2_209	NZ_CP015225.1	263376	264194	-	1	O-antigen export system permease protein RfbD
TK06_RS01075	Pf6N2E2_210	NZ_CP015225.1	264376	267099	+	1	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)
TK06_RS01080	Pf6N2E2_211	NZ_CP015225.1	267192	267779	+	1	SanC
