#Locus	Accession	Start	End	Length	RevGeneID	FwdGeneID	RevOperonId	FwdOperonId
locus_0084	NC_019936.1	135652	135760	109	Psest_0135			
locus_0087	NC_019936.1	138752	139039	288	Psest_0139		operon 24	
locus_0088	NC_019936.1	141098	141251	154	Psest_0140			
locus_0089	NC_019936.1	142020	142168	149	Psest_0141			
locus_0090	NC_019936.1	142652	142874	223	Psest_0142			
locus_0091	NC_019936.1	142951	143042	92	Psest_0143			
locus_0092	NC_019936.1	146602	146792	191	Psest_0146		operon 25	
locus_0093	NC_019936.1	147192	147279	88	Psest_0147			
locus_0096	NC_019936.1	150302	150658	357	Psest_0150		operon 26	
locus_0097	NC_019936.1	151970	152098	129	Psest_0151	Psest_0152		operon 27
locus_0099	NC_019936.1	154372	154469	98		Psest_0156		operon 28
locus_0100	NC_019936.1	155241	155326	86		Psest_0157		
locus_0101	NC_019936.1	156077	156306	230		Psest_0158		
locus_0102	NC_019936.1	159171	159241	71	Psest_0160		operon 29	
locus_0103	NC_019936.1	160505	160618	114	Psest_0161			
locus_0104	NC_019936.1	162167	162306	140	Psest_0162	Psest_0163		operon 30
locus_0106	NC_019936.1	164569	164781	213	Psest_0166	Psest_0167		
locus_0107	NC_019936.1	165635	165831	197	Psest_0168	Psest_0169		
locus_0108	NC_019936.1	166616	166833	218	Psest_0170			
locus_0109	NC_019936.1	167355	167483	129	Psest_0173	Psest_0174	operon 31	operon 32
locus_0112	NC_019936.1	172302	172411	110		Psest_0179		
locus_0113	NC_019936.1	173414	173533	120		Psest_0180		
locus_0114	NC_019936.1	175151	175362	212		Psest_0181		operon 33
locus_0117	NC_019936.1	180661	180925	265	Psest_0184	Psest_0185		
locus_0118	NC_019936.1	181559	181741	183		Psest_0186		operon 34
locus_0120	NC_019936.1	185143	185254	112		Psest_0189		
locus_0122	NC_019936.1	189603	189909	307	Psest_0192	Psest_0193	operon 35	
locus_0123	NC_019936.1	190342	190519	178		Psest_0194		
locus_0124	NC_019936.1	190757	190866	110		Psest_0195		
locus_0125	NC_019936.1	191038	191427	390		Psest_0196		
locus_0126	NC_019936.1	195342	195462	121	Psest_0197			
locus_0127	NC_019936.1	196429	197026	598	Psest_0198	Psest_0199		
locus_0128	NC_019936.1	198614	198894	281		Psest_0200		
locus_0129	NC_019936.1	199060	199179	120		Psest_0201		
locus_0130	NC_019936.1	200761	200891	131		Psest_0202		
locus_0131	NC_019936.1	204869	205050	182	Psest_0204	Psest_0205	operon 36	operon 37
locus_0133	NC_019936.1	207316	207393	78		Psest_0207		
locus_0134	NC_019936.1	212066	212205	140	Psest_0210			
locus_0135	NC_019936.1	213103	213328	226	Psest_0211	Psest_0212		operon 38
locus_0137	NC_019936.1	222092	222221	130		Psest_0215		
locus_0138	NC_019936.1	223575	223740	166	Psest_0216	Psest_0217		
locus_0139	NC_019936.1	225367	225589	223	Psest_0218	Psest_0219		
locus_0140	NC_019936.1	226559	226767	209		Psest_0220		operon 39
locus_0142	NC_019936.1	230743	230843	101		Psest_0222		
locus_0143	NC_019936.1	231672	231817	146		Psest_0223		
locus_0144	NC_019936.1	233585	233671	87	Psest_0224	Psest_0225		
locus_0145	NC_019936.1	237374	237465	92	Psest_0227		operon 40	
locus_0146	NC_019936.1	238582	238669	88	Psest_0228	Psest_0229		operon 41
locus_0147	NC_019936.1	239249	239335	87		Psest_0230		
locus_0148	NC_019936.1	240432	240528	97	Psest_0231	Psest_0232		
locus_0149	NC_019936.1	241648	241745	98		Psest_0233		
locus_0150	NC_019936.1	245386	245885	500	Psest_0234	Psest_0235		
locus_0151	NC_019936.1	247994	248095	102	Psest_0236			
locus_0152	NC_019936.1	248636	248764	129	Psest_0237	Psest_0238		
locus_0154	NC_019936.1	250501	250615	115		Psest_0240		
locus_0155	NC_019936.1	250958	251057	100		Psest_0241		
locus_0156	NC_019936.1	254865	254971	107	Psest_0243		operon 42	
locus_0157	NC_019936.1	255455	255559	105	Psest_0244			
locus_0160	NC_019936.1	259129	259257	129	Psest_0247	Psest_0248	operon 43	
locus_0161	NC_019936.1	259903	260077	175		Psest_0249		operon 44
locus_0163	NC_019936.1	268260	268432	173	Psest_0253	Psest_0254		
locus_0164	NC_019936.1	272350	272578	229	Psest_0257	Psest_0258	operon 45	operon 46
locus_0165	NC_019936.1	275544	275655	112		Psest_0261		
locus_0166	NC_019936.1	279165	279349	185	Psest_0262			
locus_0167	NC_019936.1	281279	281398	120	Psest_0263			
locus_0169	NC_019936.1	282571	282658	88		Psest_0266		operon 47
locus_0172	NC_019936.1	284511	284739	229		Psest_0269		
locus_0175	NC_019936.1	289398	289491	94	Psest_0272		operon 48	
locus_0176	NC_019936.1	290920	291052	133	Psest_0273	Psest_0274		
locus_0181	NC_019936.1	295783	295910	128	Psest_0280		operon 49	
locus_0182	NC_019936.1	297873	298148	276	Psest_0281			
locus_0185	NC_019936.1	300274	300339	66	Psest_0284	Psest_0285	operon 50	
locus_0187	NC_019936.1	304624	304756	133	Psest_0288	Psest_0289	operon 51	
locus_0190	NC_019936.1	309098	309160	63	Psest_0294		operon 52	
locus_0191	NC_019936.1	310055	310141	87	Psest_0295			
locus_0192	NC_019936.1	311093	311328	236	Psest_0296	Psest_0297		
locus_0195	NC_019936.1	312724	312799	76		Psest_0300		operon 53
locus_0198	NC_019936.1	325267	325356	90	Psest_0305			
locus_0199	NC_019936.1	326761	326921	161	Psest_0306	Psest_0307		operon 54
locus_0201	NC_019936.1	328078	328339	262		Psest_0309		operon 55
locus_0203	NC_019936.1	335967	336202	236	Psest_0312			
locus_0204	NC_019936.1	337133	337218	86	Psest_0313			
locus_0205	NC_019936.1	338626	338913	288	Psest_0314	Psest_0315	operon 56	
locus_0206	NC_019936.1	339352	339458	107		Psest_0316		
locus_0208	NC_019936.1	342021	342113	93	Psest_0318			
locus_0209	NC_019936.1	343446	343619	174	Psest_0319	Psest_0320		operon 57
locus_0211	NC_019936.1	345709	345930	222	Psest_0322			
locus_0213	NC_019936.1	348126	348219	94	Psest_0324		operon 58	
locus_0214	NC_019936.1	349716	349859	144	Psest_0326	Psest_0327	operon 59	operon 60
locus_0215	NC_019936.1	350799	350893	95		Psest_0328		
locus_0216	NC_019936.1	352892	352998	107		Psest_0329		operon 61
locus_0218	NC_019936.1	355253	355388	136		Psest_0331		operon 62
locus_0220	NC_019936.1	355939	356116	178		Psest_0333		
locus_0221	NC_019936.1	357623	357941	319	Psest_0334	Psest_0335		
locus_0222	NC_019936.1	358557	358733	177		Psest_0336		operon 63
locus_0223	NC_019936.1	359013	359104	92		Psest_0337		
locus_0224	NC_019936.1	359579	359797	219		Psest_0338		
locus_0225	NC_019936.1	362009	362171	163		Psest_0339		
locus_0228	NC_019936.1	367039	367173	135	Psest_0343			
locus_0229	NC_019936.1	368554	368734	181	Psest_0344	Psest_0345		
locus_0230	NC_019936.1	369245	369963	719		Psest_0346		operon 64
locus_0232	NC_019936.1	372001	372097	97		Psest_0348		
locus_0233	NC_019936.1	375434	375614	181	Psest_0350		operon 65	
locus_0236	NC_019936.1	378843	379041	199	Psest_0353		operon 66	
locus_0237	NC_019936.1	381223	381441	219	Psest_0354	Psest_0355		
locus_0238	NC_019936.1	382873	383074	202	Psest_0356	Psest_0357		operon 67
locus_0239	NC_019936.1	385444	385559	116		Psest_0359		
locus_0240	NC_019936.1	387273	387495	223	Psest_0360			
locus_0241	NC_019936.1	389304	389361	58	Psest_0362		operon 68	
locus_0242	NC_019936.1	390334	390411	78	Psest_0363			
locus_0243	NC_019936.1	391303	391343	41	Psest_0364		operon 69	
locus_0244	NC_019936.1	392160	392536	377	Psest_0365			
locus_0245	NC_019936.1	393552	393950	399	Psest_0367		operon 70	
locus_0246	NC_019936.1	394866	394967	102	Psest_0368	Psest_0369		
locus_0250	NC_019936.1	400640	401089	450	Psest_0373	Psest_0374	operon 71	
locus_0252	NC_019936.1	403515	403606	92		Psest_0376		
locus_0253	NC_019936.1	404948	405055	108		Psest_0377		
locus_0254	NC_019936.1	406622	406714	93		Psest_0378		
locus_0255	NC_019936.1	407645	407770	126		Psest_0379		
locus_0256	NC_019936.1	408662	408820	159		Psest_0380		operon 72
locus_0258	NC_019936.1	414520	414832	313	Psest_0384			
locus_0259	NC_019936.1	417465	417652	188	Psest_0387	Psest_0388	operon 73	operon 74
locus_0260	NC_019936.1	418974	419409	436	Psest_0390	Psest_0391		
locus_0261	NC_019936.1	419569	419763	195		Psest_0392		operon 75
locus_0262	NC_019936.1	427385	427474	90	Psest_0396			
locus_0263	NC_019936.1	430766	430880	115	Psest_0397		operon 76	
locus_0264	NC_019936.1	432627	432760	134	Psest_0398			
locus_0265	NC_019936.1	434576	434680	105	Psest_0399			
locus_0266	NC_019936.1	435572	435729	158	Psest_0400	Psest_0401		operon 77
locus_0268	NC_019936.1	442155	442237	83	Psest_0406			
locus_0269	NC_019936.1	443282	443416	135	Psest_0407	Psest_0408		
locus_0271	NC_019936.1	446506	446598	93	Psest_0410	Psest_0411	operon 78	
locus_0272	NC_019936.1	447655	447761	107		Psest_0412		operon 79
locus_0273	NC_019936.1	451134	451218	85		Psest_0416		
locus_0274	NC_019936.1	451468	451827	360		Psest_0417		
locus_0275	NC_019936.1	453634	453782	149		Psest_0418		
locus_0276	NC_019936.1	455073	455209	137		Psest_0419		
locus_0277	NC_019936.1	456989	457936	948		Psest_0422		operon 80
locus_0279	NC_019936.1	465545	466297	753	Psest_0427	Psest_0428	operon 81	operon 82
locus_0282	NC_019936.1	471761	471837	77	Psest_0434			
locus_0283	NC_019936.1	472135	472393	259	Psest_0435		operon 83	
locus_0284	NC_019936.1	472649	472725	77	Psest_0436	Psest_0437		
locus_0285	NC_019936.1	472957	473191	235		Psest_0438		operon 84
locus_0286	NC_019936.1	479056	479243	188		Psest_0440		
locus_0288	NC_019936.1	483179	483610	432	Psest_0442		operon 85	
locus_0289	NC_019936.1	484157	484283	127	Psest_0443			
locus_0290	NC_019936.1	484707	484817	111	Psest_0444			
locus_0291	NC_019936.1	487491	487600	110	Psest_0445	Psest_0446		
locus_0293	NC_019936.1	492911	493175	265	Psest_0448	Psest_0449	operon 86	operon 87
locus_0295	NC_019936.1	497096	497173	78		Psest_0451		
locus_0301	NC_019936.1	511459	511783	325		Psest_0464		
locus_0302	NC_019936.1	512513	512892	380		Psest_0465		
locus_0303	NC_019936.1	514302	514335	34	Psest_0466	Psest_0467		operon 88
locus_0305	NC_019936.1	518448	518527	80		Psest_0470		
locus_0306	NC_019936.1	520872	520956	85	Psest_0471			
locus_0307	NC_019936.1	523330	523441	112	Psest_0474	Psest_0475	operon 89	
locus_0308	NC_019936.1	526362	526743	382	Psest_0476	Psest_0477		
locus_0309	NC_019936.1	529420	529636	217	Psest_0478	Psest_0479		operon 90
locus_0310	NC_019936.1	530698	530850	153		Psest_0481		
locus_0311	NC_019936.1	531667	531832	166		Psest_0482		operon 91
locus_0313	NC_019936.1	538235	538417	183		Psest_0487		
locus_0314	NC_019936.1	540763	540963	201	Psest_0488	Psest_0489		
locus_0315	NC_019936.1	543361	543499	139	Psest_0490			
locus_0317	NC_019936.1	547470	547622	153	Psest_0492			
locus_0319	NC_019936.1	549350	549396	47	Psest_0494		operon 92	
locus_0320	NC_019936.1	550912	551075	164	Psest_0495	Psest_0496		operon 93
locus_0322	NC_019936.1	553959	554081	123	Psest_0498	Psest_0499		operon 94
locus_0325	NC_019936.1	557981	558057	77	Psest_0502			
locus_0326	NC_019936.1	558514	558738	225	Psest_0503	Psest_0504	operon 95	operon 96
locus_0328	NC_019936.1	561760	561975	216	Psest_0507	Psest_0508		operon 97
locus_0333	NC_019936.1	571008	571073	66		Psest_0517		operon 98
locus_0334	NC_019936.1	572982	573183	202		Psest_0520		
locus_0336	NC_019936.1	575135	575227	93	Psest_0522		operon 99	
locus_0339	NC_019936.1	579550	579812	263	Psest_0525	Psest_0526	operon 100	
locus_0341	NC_019936.1	582718	582834	117	Psest_0528			
locus_0343	NC_019936.1	586602	586698	97	Psest_0532			
locus_0344	NC_019936.1	587236	587352	117	Psest_0533		operon 101	
locus_0348	NC_019936.1	590775	590996	222	Psest_0537	Psest_0538	operon 102	
locus_0349	NC_019936.1	592998	593127	130		Psest_0539		
locus_0350	NC_019936.1	595638	596160	523	Psest_0540	Psest_0541		
locus_0351	NC_019936.1	597673	597892	220		Psest_0542		
locus_0352	NC_019936.1	599369	599448	80		Psest_0543		
locus_0353	NC_019936.1	600280	600355	76	Psest_0544			
locus_0354	NC_019936.1	602819	602981	163	Psest_0548		operon 103	
locus_0355	NC_019936.1	603486	603732	247	Psest_0549	Psest_0550		
locus_0356	NC_019936.1	604606	604705	100		Psest_0551		
locus_0357	NC_019936.1	606372	606675	304	Psest_0552	Psest_0553		
locus_0359	NC_019936.1	609667	609995	329	Psest_0555		operon 104	
locus_0360	NC_019936.1	610725	611092	368	Psest_0556			
locus_0361	NC_019936.1	612794	612909	116	Psest_0557			
locus_0362	NC_019936.1	614080	614210	131	Psest_0560		operon 105	
locus_0363	NC_019936.1	615045	615248	204	Psest_0561			
locus_0364	NC_019936.1	618798	618902	105	Psest_0562			
locus_0365	NC_019936.1	619602	619767	166	Psest_0563			
locus_0366	NC_019936.1	623264	623421	158	Psest_0566		operon 106	
locus_0367	NC_019936.1	624691	625009	319	Psest_0567	Psest_0568		
locus_0368	NC_019936.1	625880	626053	174	Psest_0569			
locus_0369	NC_019936.1	626447	626606	160	Psest_0570			
locus_0370	NC_019936.1	627087	627630	544	Psest_0571			
locus_0372	NC_019936.1	628964	629119	156	Psest_0574	Psest_0575	operon 107	
locus_0373	NC_019936.1	630212	630377	166	Psest_0576			
locus_0374	NC_019936.1	630669	630772	104	Psest_0577	Psest_0578		
locus_0375	NC_019936.1	632537	632960	424	Psest_0581	Psest_0582		
locus_0376	NC_019936.1	633171	633487	317		Psest_0583		operon 108
locus_0379	NC_019936.1	637452	637929	478		Psest_0587		
locus_0380	NC_019936.1	638260	638637	378		Psest_0588		
locus_0381	NC_019936.1	639794	640337	544	Psest_0589			
locus_0382	NC_019936.1	642006	642110	105	Psest_0590			
locus_0383	NC_019936.1	643485	643574	90	Psest_0591			
locus_0386	NC_019936.1	644437	644578	142	Psest_0594		operon 109	
locus_0387	NC_019936.1	650795	651353	559	Psest_0598		operon 110	
locus_0388	NC_019936.1	653718	654193	476	Psest_0600			
locus_0389	NC_019936.1	654317	654514	198	Psest_0601	Psest_0602		
locus_0390	NC_019936.1	655562	655677	116		Psest_0603		
locus_0391	NC_019936.1	656122	657338	1217		Psest_0606		
locus_0392	NC_019936.1	658949	659040	92	Psest_0607	Psest_0608		operon 111
locus_0393	NC_019936.1	661613	661932	320	Psest_0611		operon 112	
locus_0394	NC_019936.1	663253	663652	400	Psest_0612	Psest_0613		operon 113
locus_0398	NC_019936.1	670812	671287	476	Psest_0618	Psest_0619		
locus_0400	NC_019936.1	674001	674185	185	Psest_0622	Psest_0623	operon 114	
locus_0401	NC_019936.1	675558	676520	963	Psest_0624	Psest_0626		operon 115
locus_0403	NC_019936.1	679709	679920	212		Psest_0629		
locus_0404	NC_019936.1	689403	689486	84	Psest_0634	Psest_0635	operon 116	
locus_0405	NC_019936.1	692456	692538	83	Psest_0636	Psest_0637		
locus_0406	NC_019936.1	693809	693884	76	Psest_0638			
locus_0407	NC_019936.1	694566	694681	116	Psest_0639	Psest_0640		
locus_0408	NC_019936.1	697325	697433	109	Psest_0641			
locus_0409	NC_019936.1	698564	698701	138	Psest_0643		operon 117	
locus_0411	NC_019936.1	705842	706037	196	Psest_0649		operon 118	
locus_0412	NC_019936.1	706536	706629	94	Psest_0650			
locus_0413	NC_019936.1	709953	710105	153	Psest_0652		operon 119	
locus_0417	NC_019936.1	718176	718436	261	Psest_0660	Psest_0661	operon 120	operon 121
locus_0420	NC_019936.1	723019	723161	143		Psest_0664		
locus_0421	NC_019936.1	725265	725369	105	Psest_0665			
locus_0422	NC_019936.1	726183	726329	147	Psest_0666	Psest_0667		
locus_0423	NC_019936.1	728685	728769	85	Psest_0668			
locus_0425	NC_019936.1	731625	731820	196	Psest_0670		operon 122	
locus_0426	NC_019936.1	733342	733495	154	Psest_0671			
locus_0427	NC_019936.1	734645	734848	204	Psest_0672	Psest_0673		
locus_0428	NC_019936.1	736199	736305	107		Psest_0674		operon 123
locus_0429	NC_019936.1	737228	737327	100		Psest_0676		
locus_0430	NC_019936.1	740271	740344	74	Psest_0677	Psest_0678		operon 124
locus_0431	NC_019936.1	745601	745682	82		Psest_0682		
locus_0432	NC_019936.1	746655	746746	92		Psest_0683		operon 125
locus_0434	NC_019936.1	748315	748412	98		Psest_0685		
locus_0435	NC_019936.1	750458	750740	283		Psest_0687		operon 126
locus_0436	NC_019936.1	751929	752017	89		Psest_0688		
locus_0437	NC_019936.1	753558	753673	116	Psest_0689			
locus_0438	NC_019936.1	753761	753964	204	Psest_0690	Psest_0691		operon 127
locus_0439	NC_019936.1	757219	757392	174		Psest_0693		
locus_0440	NC_019936.1	759556	759735	180		Psest_0694		operon 128
locus_0444	NC_019936.1	761808	761910	103		Psest_0698		
locus_0445	NC_019936.1	763306	763443	138		Psest_0699		
locus_0446	NC_019936.1	766371	766538	168	Psest_0700	Psest_0701		
locus_0447	NC_019936.1	770832	770971	140	Psest_0702			
locus_0448	NC_019936.1	772568	772784	217	Psest_0703	Psest_0704		
locus_0449	NC_019936.1	775279	775354	76	Psest_0705			
locus_0450	NC_019936.1	777171	777282	112	Psest_0707		operon 129	
locus_0451	NC_019936.1	778273	778324	52	Psest_0708	Psest_0709		operon 130
locus_0452	NC_019936.1	780187	780352	166		Psest_0711		
locus_0453	NC_019936.1	782918	783113	196		Psest_0712		
locus_0457	NC_019936.1	784993	785113	121	Psest_0716			
locus_0458	NC_019936.1	787373	787801	429	Psest_0717	Psest_0718		
locus_0459	NC_019936.1	789131	789268	138	Psest_0719	Psest_0720		
locus_0461	NC_019936.1	791300	791390	91		Psest_0722		
locus_0462	NC_019936.1	793707	793862	156	Psest_0723	Psest_0724		
locus_0463	NC_019936.1	794592	794695	104		Psest_0725		operon 131
locus_0465	NC_019936.1	796101	796362	262		Psest_0727		
locus_0468	NC_019936.1	800578	800734	157	Psest_0730	Psest_0731		
locus_0470	NC_019936.1	807378	807625	248	Psest_0734	Psest_0735	operon 132	
locus_0471	NC_019936.1	810066	810254	189	Psest_0736			
locus_0473	NC_019936.1	813091	813238	148	Psest_0738	Psest_0739	operon 133	
locus_0474	NC_019936.1	814200	814285	86	Psest_0740	Psest_0741		
locus_0475	NC_019936.1	815627	815726	100	Psest_0742			
locus_0476	NC_019936.1	816777	817136	360	Psest_0743			
locus_0477	NC_019936.1	817725	817936	212	Psest_0744	Psest_0745		
locus_0479	NC_019936.1	820577	820935	359	Psest_0748	Psest_0749	operon 134	
locus_0480	NC_019936.1	821647	821754	108		Psest_0750		
locus_0481	NC_019936.1	823334	823432	99	Psest_0751			
locus_0482	NC_019936.1	824423	824689	267	Psest_0752	Psest_0753	operon 135	
locus_0483	NC_019936.1	825815	825902	88		Psest_0754		
locus_0484	NC_019936.1	827099	827192	94	Psest_0755	Psest_0756		
locus_0485	NC_019936.1	828168	828281	114	Psest_0757			
locus_0487	NC_019936.1	829479	829772	294	Psest_0759	Psest_0760	operon 136	
locus_0488	NC_019936.1	833063	833303	241	Psest_0763		operon 137	
locus_0489	NC_019936.1	834861	835269	409	Psest_0764	Psest_0765		
locus_0490	NC_019936.1	836017	836229	213	Psest_0766	Psest_0767		
locus_0491	NC_019936.1	838468	838602	135	Psest_0768	Psest_0769		
locus_0492	NC_019936.1	839724	839841	118	Psest_0770			
locus_0493	NC_019936.1	840346	840684	339	Psest_0771	Psest_0772		
locus_0495	NC_019936.1	843892	844181	290	Psest_0774	Psest_0775	operon 138	operon 139
locus_0497	NC_019936.1	846794	846877	84	Psest_0777			
locus_0498	NC_019936.1	847640	847834	195	Psest_0778		operon 140	
locus_0499	NC_019936.1	849388	849614	227	Psest_0780		operon 141	
locus_0500	NC_019936.1	850401	850650	250	Psest_0781	Psest_0782		
locus_0501	NC_019936.1	856491	856616	126	Psest_0783			
locus_0502	NC_019936.1	857994	858101	108	Psest_0784			
locus_0503	NC_019936.1	859050	859373	324	Psest_0785	Psest_0786		
locus_0504	NC_019936.1	860400	860762	363		Psest_0787		
locus_0505	NC_019936.1	862165	862380	216	Psest_0788	Psest_0789		operon 142
locus_0507	NC_019936.1	863244	863409	166		Psest_0791		
locus_0508	NC_019936.1	864661	864935	275		Psest_0792		
locus_0510	NC_019936.1	869095	869215	121		Psest_0794		operon 143
locus_0513	NC_019936.1	873103	873424	322		Psest_0799		
locus_0514	NC_019936.1	874616	874733	118		Psest_0800		
locus_0515	NC_019936.1	875478	875813	336		Psest_0801		
locus_0519	NC_019936.1	884010	884253	244	Psest_0808		operon 144	
locus_0520	NC_019936.1	886593	886661	69	Psest_0810		operon 145	
locus_0521	NC_019936.1	887844	888013	170	Psest_0811			
locus_0523	NC_019936.1	889650	889992	343	Psest_0814	Psest_0815	operon 146	
locus_0525	NC_019936.1	892351	892399	49		Psest_0817		operon 147
locus_0527	NC_019936.1	893447	893592	146		Psest_0819		operon 148
locus_0529	NC_019936.1	897326	897577	252		Psest_0826		operon 149
locus_0531	NC_019936.1	899488	899569	82		Psest_0828		
locus_0533	NC_019936.1	902756	902891	136	Psest_0830			
locus_0534	NC_019936.1	904127	904271	145	Psest_0832	Psest_0833	operon 150	
locus_0536	NC_019936.1	906085	906276	192		Psest_0835		operon 151
locus_0538	NC_019936.1	909233	909328	96	Psest_0838			
locus_0539	NC_019936.1	910007	910237	231	Psest_0839	Psest_0840		operon 152
locus_0542	NC_019936.1	916347	916616	270	Psest_0846	Psest_0847	operon 153	
locus_0543	NC_019936.1	918045	918275	231		Psest_0848		operon 154
locus_0544	NC_019936.1	918537	918634	98		Psest_0849		
locus_0545	NC_019936.1	922360	922530	171	Psest_0851	Psest_0852		operon 155
locus_0549	NC_019936.1	928032	928306	275		Psest_0857		
locus_0550	NC_019936.1	929803	929924	122	Psest_0858			
locus_0551	NC_019936.1	931218	931604	387	Psest_0859	Psest_0860		
locus_0552	NC_019936.1	936597	936848	252	Psest_0862	Psest_0863	operon 156	
locus_0553	NC_019936.1	938037	938103	67		Psest_0864		operon 157
locus_0556	NC_019936.1	943422	943555	134		Psest_0867		
locus_0557	NC_019936.1	944654	944827	174	Psest_0868	Psest_0869		
locus_0558	NC_019936.1	945377	945526	150		Psest_0870		
locus_0559	NC_019936.1	947156	947236	81		Psest_0871		
locus_0560	NC_019936.1	948353	948526	174		Psest_0872		operon 158
locus_0561	NC_019936.1	950164	950285	122		Psest_0874		
locus_0562	NC_019936.1	952263	953598	1336		Psest_0876		
locus_0564	NC_019936.1	959459	959595	137	Psest_0879	Psest_0880		
locus_0565	NC_019936.1	960589	961601	1013		Psest_0883		operon 159
locus_0567	NC_019936.1	966294	966478	185	Psest_0888			
locus_0569	NC_019936.1	968031	968089	59	Psest_0890		operon 160	
locus_0571	NC_019936.1	969155	969262	108	Psest_0892	Psest_0893		
locus_0572	NC_019936.1	970178	970745	568		Psest_0895		
locus_0573	NC_019936.1	971886	972553	668		Psest_0897		operon 161
locus_0574	NC_019936.1	974697	974774	78		Psest_0899		
locus_0575	NC_019936.1	980555	980692	138	Psest_0902			
locus_0578	NC_019936.1	984431	986201	1771	Psest_0905	Psest_0908		operon 162
locus_0579	NC_019936.1	986921	986971	51		Psest_0910		operon 163
locus_0580	NC_019936.1	987344	987437	94		Psest_0911		
locus_0581	NC_019936.1	988092	988299	208		Psest_0912		operon 164
locus_0582	NC_019936.1	995030	995595	566	Psest_0915	Psest_0916		
locus_0583	NC_019936.1	996490	996937	448		Psest_0917		
locus_0584	NC_019936.1	998294	998649	356		Psest_0918		
locus_0585	NC_019936.1	1000628	1000764	137	Psest_0919	Psest_0920		
locus_0586	NC_019936.1	1002155	1002284	130	Psest_0921	Psest_0922		operon 165
