locusId	sysName	scaffoldId	begin	end	strand	type	desc
Psest_0088	GFF88	NC_019936.1	89559	90308	-	1	phosphonate metabolism protein PhnP
Psest_0089	GFF89	NC_019936.1	90299	90853	-	1	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN
Psest_0090	GFF90	NC_019936.1	90952	92097	-	1	phosphonate metabolism protein PhnM
Psest_0091	GFF91	NC_019936.1	92087	92791	-	1	phosphonate C-P lyase system protein PhnL
Psest_0092	GFF92	NC_019936.1	92803	93615	-	1	phosphonate C-P lyase system protein PhnK
Psest_0093	GFF93	NC_019936.1	93612	94481	-	1	Uncharacterized enzyme of phosphonate metabolism
Psest_0094	GFF94	NC_019936.1	94478	95587	-	1	Uncharacterized enzyme of phosphonate metabolism
Psest_0095	GFF95	NC_019936.1	95587	96195	-	1	phosphonate C-P lyase system protein PhnH
Psest_0096	GFF96	NC_019936.1	96195	96641	-	1	phosphonate C-P lyase system protein PhnG
Psest_0097	GFF97	NC_019936.1	96653	97381	-	1	phosphonates metabolism transcriptional regulator PhnF
Psest_0098	GFF98	NC_019936.1	97396	98190	-	1	phosphonate ABC transporter, permease protein PhnE
Psest_0099	GFF99	NC_019936.1	98253	99257	-	1	phosphonate ABC transporter, periplasmic phosphonate binding protein
Psest_0100	GFF100	NC_019936.1	99306	100136	-	1	phosphonate ABC transporter, ATP-binding protein
Psest_0101	GFF101	NC_019936.1	100412	101176	+	1	Short-chain alcohol dehydrogenase of unknown specificity
Psest_0102	GFF102	NC_019936.1	101350	103017	+	1	malonate decarboxylase, alpha subunit
Psest_0103	GFF103	NC_019936.1	103017	103895	+	1	triphosphoribosyl-dephospho-CoA synthase MdcB
Psest_0104	GFF104	NC_019936.1	103898	104197	+	1	malonate decarboxylase acyl carrier protein
Psest_0105	GFF105	NC_019936.1	104190	105056	+	1	malonate decarboxylase, beta subunit
Psest_0106	GFF106	NC_019936.1	105053	105838	+	1	malonate decarboxylase, gamma subunit
Psest_0107	GFF107	NC_019936.1	105911	106528	+	1	malonate decarboxylase holo-[acyl-carrier-protein] synthase
Psest_0108	GFF108	NC_019936.1	106525	107451	+	1	malonate decarboxylase, epsilon subunit
Psest_0109	GFF109	NC_019936.1	107576	107998	+	1	malonate transporter, MadL subunit
Psest_0110	GFF110	NC_019936.1	108004	108768	+	1	malonate transporter, MadM subunit
Psest_0111	GFF111	NC_019936.1	109205	110464	+	1	Glycine/D-amino acid oxidases (deaminating)
Psest_0112	GFF112	NC_019936.1	110797	111714	-	1	Transcriptional regulator
Psest_0113	GFF113	NC_019936.1	111773	112414	-	1	Uncharacterized protein conserved in bacteria
Psest_0114	GFF114	NC_019936.1	112411	112980	-	1	RNA polymerase sigma factor, sigma-70 family
Psest_0115	GFF115	NC_019936.1	113172	113444	+	1	Predicted integral membrane protein
Psest_0116	GFF116	NC_019936.1	113461	114288	+	1	Uncharacterized protein conserved in bacteria
Psest_0117	GFF117	NC_019936.1	114285	115076	+	1	Uncharacterized protein conserved in bacteria (DUF2063).
Psest_0118	GFF118	NC_019936.1	115073	115534	+	1	Predicted membrane protein
Psest_0119	GFF119	NC_019936.1	115556	115762	-	1	hypothetical protein
Psest_0120	GFF120	NC_019936.1	115976	116320	-	1	hypothetical protein
Psest_0121	GFF121	NC_019936.1	116322	117569	-	1	LysM domain.
Psest_0122	GFF122	NC_019936.1	117575	118429	-	1	hypothetical protein
Psest_0123	GFF123	NC_019936.1	118402	120501	-	1	Rhs element Vgr protein
Psest_0124	GFF124	NC_019936.1	120517	122034	-	1	Transcriptional regulator containing GAF, AAA-type ATPase, and DNA binding domains
Psest_0125	GFF125	NC_019936.1	122036	124627	-	1	type VI secretion ATPase, ClpV1 family
Psest_0126	GFF126	NC_019936.1	124639	125646	-	1	type VI secretion protein, VC_A0111 family
Psest_0127	GFF127	NC_019936.1	125610	127400	-	1	type VI secretion protein, VC_A0110 family
Psest_0128	GFF128	NC_019936.1	127453	127815	-	1	hypothetical protein
Psest_0129	GFF129	NC_019936.1	127802	128437	-	1	Protein of unknown function (DUF2931).
Psest_0130	GFF130	NC_019936.1	128434	130356	-	1	Uncharacterized conserved protein
Psest_0131	GFF131	NC_019936.1	130368	130775	-	1	type VI secretion system lysozyme-related protein
Psest_0132	GFF132	NC_019936.1	130780	132258	-	1	type VI secretion protein, EvpB/VC_A0108 family
Psest_0133	GFF133	NC_019936.1	132285	132791	-	1	type VI secretion protein, VC_A0107 family
Psest_0134	GFF134	NC_019936.1	132808	134370	-	1	type VI secretion-associated protein, VC_A0119 family
Psest_0135	GFF135	NC_019936.1	134749	135651	-	1	Uncharacterized enzymes related to aldose 1-epimerase
Psest_0136	GFF136	NC_019936.1	135761	136450	-	1	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
Psest_0137	GFF137	NC_019936.1	136447	137142	-	1	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
Psest_0138	GFF138	NC_019936.1	137207	137962	-	1	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
Psest_0139	GFF139	NC_019936.1	137978	138751	-	1	ABC-type histidine transport system, ATPase component
Psest_0140	GFF140	NC_019936.1	139040	141097	-	1	choline/carnitine/betaine transport
Psest_0141	GFF141	NC_019936.1	141252	142019	-	1	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
Psest_0142	GFF142	NC_019936.1	142169	142651	-	1	Micrococcal nuclease (thermonuclease) homologs
Psest_0143	GFF143	NC_019936.1	142875	142950	-	5	tRNA_Phe_GAA
Psest_0144	GFF144	NC_019936.1	143043	143315	-	1	Fe-S cluster protector protein
Psest_0145	GFF145	NC_019936.1	143312	144379	-	1	A/G-specific adenine glycosylase
Psest_0146	GFF146	NC_019936.1	144376	146601	-	1	Uncharacterized protein involved in outer membrane biogenesis
Psest_0147	GFF147	NC_019936.1	146793	147191	-	1	Acetyltransferase, GNAT family.
Psest_0148	GFF148	NC_019936.1	147280	148062	-	1	nitrate transport ATP-binding subunits C and D
Psest_0149	GFF149	NC_019936.1	148074	148943	-	1	nitrate ABC transporter, permease protein
Psest_0150	GFF150	NC_019936.1	148970	150301	-	1	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components
Psest_0151	GFF151	NC_019936.1	150659	151969	-	1	Response regulator with putative antiterminator output domain
Psest_0152	GFF152	NC_019936.1	152099	152692	+	1	Imidazoleglycerol-phosphate dehydratase
Psest_0153	GFF153	NC_019936.1	152692	153330	+	1	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
Psest_0154	GFF154	NC_019936.1	153331	153591	+	1	Uncharacterized conserved protein
Psest_0155	GFF155	NC_019936.1	153628	154371	+	1	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
Psest_0156	GFF156	NC_019936.1	154470	155240	+	1	imidazoleglycerol phosphate synthase, cyclase subunit
Psest_0157	GFF157	NC_019936.1	155327	156076	+	1	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
Psest_0158	GFF158	NC_019936.1	156307	157053	+	1	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
Psest_0159	GFF159	NC_019936.1	157057	157848	-	1	Uncharacterized protein conserved in bacteria
Psest_0160	GFF160	NC_019936.1	157851	159170	-	1	C-terminal peptidase (prc)
Psest_0161	GFF161	NC_019936.1	159242	160504	-	1	Membrane-bound metallopeptidase
Psest_0162	GFF162	NC_019936.1	160619	162166	-	1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
Psest_0163	GFF163	NC_019936.1	162307	162720	+	1	Rhodanese-related sulfurtransferase
Psest_0164	GFF164	NC_019936.1	162723	162977	+	1	Glutaredoxin, GrxC family
Psest_0165	GFF165	NC_019936.1	163042	163536	+	1	protein-export chaperone SecB
Psest_0166	GFF166	NC_019936.1	163588	164568	-	1	NADPH:quinone reductase and related Zn-dependent oxidoreductases
Psest_0167	GFF167	NC_019936.1	164782	165183	+	1	Flagellar basal body-associated protein
Psest_0168	GFF168	NC_019936.1	165185	165634	-	1	Uncharacterized conserved protein
Psest_0169	GFF169	NC_019936.1	165832	165984	+	1	hypothetical protein
Psest_0170	GFF170	NC_019936.1	166013	166615	-	1	5,10-methenyltetrahydrofolate synthetase
Psest_0172	GFF171	NC_019936.1	166834	167148	-	1	Uncharacterized protein conserved in bacteria
Psest_0173	GFF172	NC_019936.1	167145	167354	-	1	TIGR02449 family protein
Psest_0174	GFF173	NC_019936.1	167484	168038	+	1	Uncharacterized protein conserved in bacteria
Psest_0175	GFF174	NC_019936.1	168055	169389	+	1	Xaa-Pro aminopeptidase
Psest_0176	GFF175	NC_019936.1	169391	170569	+	1	2-polyprenyl-6-methoxyphenol 4-hydroxylase
Psest_0177	GFF176	NC_019936.1	170593	171081	+	1	hypothetical protein
Psest_0178	GFF177	NC_019936.1	171081	172301	+	1	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
Psest_0179	GFF178	NC_019936.1	172412	173413	+	1	ABC-type Fe3+ transport system, periplasmic component
Psest_0180	GFF179	NC_019936.1	173534	175150	+	1	ABC-type Fe3+ transport system, permease component
Psest_0181	GFF180	NC_019936.1	175363	176445	+	1	glycine cleavage system T protein
Psest_0182	GFF181	NC_019936.1	176498	176887	+	1	glycine cleavage system H protein
Psest_0183	GFF182	NC_019936.1	176947	179823	+	1	glycine dehydrogenase (decarboxylating)
Psest_0184	GFF183	NC_019936.1	180007	180660	-	1	ribosome biogenesis GTP-binding protein YsxC/EngB
Psest_0185	GFF184	NC_019936.1	180926	181558	+	1	Cytochrome c553
Psest_0186	GFF185	NC_019936.1	181742	182371	+	1	Protein-disulfide isomerase
Psest_0187	GFF186	NC_019936.1	182378	183247	+	1	Metal-dependent hydrolase
Psest_0188	GFF187	NC_019936.1	183244	185142	+	1	diguanylate cyclase (GGDEF) domain
Psest_0189	GFF188	NC_019936.1	185255	186043	+	1	Negative regulator of beta-lactamase expression
Psest_0190	GFF189	NC_019936.1	186046	186450	-	1	Uncharacterized conserved protein
Psest_0191	GFF190	NC_019936.1	186472	188259	-	1	PAS domain S-box
Psest_0192	GFF191	NC_019936.1	188256	189602	-	1	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains
Psest_0193	GFF192	NC_019936.1	189910	190341	+	1	conserved hypothetical protein
Psest_0194	GFF193	NC_019936.1	190520	190756	+	1	hypothetical protein
Psest_0195	GFF194	NC_019936.1	190867	191037	+	1	Small integral membrane protein
Psest_0196	GFF195	NC_019936.1	191428	192657	+	1	Uncharacterized membrane protein, required for spore maturation in B.subtilis.
Psest_0197	GFF196	NC_019936.1	192789	195341	-	1	TRAP transporter, 4TM/12TM fusion protein
Psest_0198	GFF197	NC_019936.1	195463	196428	-	1	TRAP transporter solute receptor, TAXI family
Psest_0199	GFF198	NC_019936.1	197027	198613	+	1	PAS domain S-box
Psest_0200	GFF199	NC_019936.1	198895	199059	+	1	hypothetical protein
Psest_0201	GFF200	NC_019936.1	199180	200760	+	1	PAS domain S-box
Psest_0202	GFF201	NC_019936.1	200892	202823	+	1	diguanylate cyclase (GGDEF) domain
Psest_0203	GFF202	NC_019936.1	202804	204204	-	1	Signal transduction histidine kinase
Psest_0204	GFF203	NC_019936.1	204197	204868	-	1	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
Psest_0205	GFF204	NC_019936.1	205051	206313	+	1	outer membrane porin, OprD family.
Psest_0206	GFF205	NC_019936.1	206341	207315	+	1	Uncharacterized protein conserved in bacteria
Psest_0207	GFF206	NC_019936.1	207394	207837	+	1	hypothetical protein
Psest_0208	GFF207	NC_019936.1	207839	209353	+	1	Uncharacterized protein conserved in bacteria
Psest_0209	GFF208	NC_019936.1	209355	210383	+	1	membrane protein AbrB duplication
Psest_0210	GFF209	NC_019936.1	210380	212065	-	1	Na/Pi-cotransporter
Psest_0211	GFF210	NC_019936.1	212206	213102	-	1	hypothetical protein
Psest_0212	GFF211	NC_019936.1	213329	216628	+	1	exodeoxyribonuclease V, gamma subunit
Psest_0213	GFF212	NC_019936.1	216625	220173	+	1	exodeoxyribonuclease V, beta subunit
Psest_0214	GFF213	NC_019936.1	220244	222091	+	1	exodeoxyribonuclease V, alpha subunit
Psest_0215	GFF214	NC_019936.1	222222	222665	+	1	hypothetical protein
Psest_0216	GFF215	NC_019936.1	222666	223574	-	1	Predicted permeases
Psest_0217	GFF216	NC_019936.1	223741	224955	+	1	diguanylate cyclase (GGDEF) domain
Psest_0218	GFF217	NC_019936.1	224965	225366	-	1	Acyl-CoA hydrolase
Psest_0219	GFF218	NC_019936.1	225590	226558	+	1	phosphate binding protein
Psest_0220	GFF219	NC_019936.1	226768	229044	+	1	ABC-type uncharacterized transport system, permease component
Psest_0221	GFF220	NC_019936.1	229072	230742	+	1	phosphate ABC transporter, permease protein PstA
Psest_0222	GFF221	NC_019936.1	230844	231671	+	1	phosphate ABC transporter, ATP-binding protein
Psest_0223	GFF222	NC_019936.1	231818	232546	+	1	phosphate transport system regulatory protein PhoU
Psest_0224	GFF223	NC_019936.1	232670	233584	-	1	Transcriptional regulator
Psest_0225	GFF224	NC_019936.1	233672	234583	+	1	Predicted permease, DMT superfamily
Psest_0226	GFF225	NC_019936.1	234613	235986	-	1	Domain of unknown function (DUF3482)./GTPase of unknown function.
Psest_0227	GFF226	NC_019936.1	235979	237373	-	1	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific
Psest_0228	GFF227	NC_019936.1	237466	238581	-	1	Glycerophosphoryl diester phosphodiesterase
Psest_0229	GFF228	NC_019936.1	238670	239248	+	1	Dihydrofolate reductase
Psest_0230	GFF229	NC_019936.1	239336	239983	+	1	Uncharacterized BCR, YitT family COG1284.
Psest_0231	GFF230	NC_019936.1	239976	240431	-	1	phosphoesterase, MJ0936 family
Psest_0232	GFF231	NC_019936.1	240529	241647	+	1	Predicted dehydrogenase
Psest_0233	GFF232	NC_019936.1	241746	243479	+	1	hypothetical protein
Psest_0234	GFF233	NC_019936.1	243547	245385	-	1	dihydroxy-acid dehydratase
Psest_0235	GFF234	NC_019936.1	245886	246734	+	1	isoform II.
Psest_0236	GFF235	NC_019936.1	246797	247993	-	1	Predicted SAM-dependent methyltransferases
Psest_0237	GFF236	NC_019936.1	248096	248635	-	1	intracellular protease, PfpI family
Psest_0238	GFF237	NC_019936.1	248765	249631	+	1	Predicted signal transduction protein
Psest_0239	GFF238	NC_019936.1	249688	250500	+	1	formamidopyrimidine-DNA glycosylase (fpg)
Psest_0240	GFF239	NC_019936.1	250616	250957	+	1	hypothetical protein
Psest_0241	GFF240	NC_019936.1	251058	252896	+	1	Na+/phosphate symporter
Psest_0242	GFF241	NC_019936.1	252880	254613	-	1	gamma-glutamyltranspeptidase
Psest_0243	GFF242	NC_019936.1	254613	254864	-	1	hypothetical protein
Psest_0244	GFF243	NC_019936.1	254972	255454	-	1	pantetheine-phosphate adenylyltransferase, bacterial
Psest_0245	GFF244	NC_019936.1	255560	257155	-	1	Choline dehydrogenase and related flavoproteins
Psest_0246	GFF245	NC_019936.1	257171	257701	-	1	hypothetical protein
Psest_0247	GFF246	NC_019936.1	257716	259128	-	1	NAD-dependent aldehyde dehydrogenases
Psest_0248	GFF247	NC_019936.1	259258	259902	+	1	Transcriptional regulator
Psest_0249	GFF248	NC_019936.1	260078	261268	+	1	UDP-N-acetylglucosamine 2-epimerase
Psest_0250	GFF249	NC_019936.1	261265	263451	+	1	Glycosyltransferases, probably involved in cell wall biogenesis
Psest_0251	GFF250	NC_019936.1	263451	266453	+	1	hypothetical protein
Psest_0252	GFF251	NC_019936.1	266489	267283	+	1	hypothetical protein
Psest_0253	GFF252	NC_019936.1	267273	268259	-	1	Predicted hydrolase of the alpha/beta-hydrolase fold
Psest_0254	GFF253	NC_019936.1	268433	268837	+	1	hypothetical protein
Psest_0255	GFF254	NC_019936.1	268849	269463	-	1	RNA methyltransferase, RsmD family
Psest_0256	GFF255	NC_019936.1	269463	271004	-	1	Predicted Zn-dependent peptidases
Psest_0257	GFF256	NC_019936.1	270997	272349	-	1	Predicted Zn-dependent peptidases
Psest_0258	GFF257	NC_019936.1	272579	273859	+	1	signal recognition particle-docking protein FtsY
Psest_0259	GFF258	NC_019936.1	273856	274527	+	1	cell division ATP-binding protein FtsE
Psest_0260	GFF259	NC_019936.1	274524	275543	+	1	Cell division protein
Psest_0261	GFF260	NC_019936.1	275656	276510	+	1	alternative sigma factor RpoH
Psest_0262	GFF261	NC_019936.1	276594	279164	-	1	PAS domain S-box
Psest_0263	GFF262	NC_019936.1	279350	281278	-	1	PAS domain S-box/diguanylate cyclase (GGDEF) domain
Psest_0264	GFF263	NC_019936.1	281399	282127	-	1	monofunctional biosynthetic peptidoglycan transglycosylase
Psest_0265	GFF264	NC_019936.1	282196	282570	+	1	Uncharacterized small membrane protein
Psest_0266	GFF265	NC_019936.1	282659	282859	+	1	thiamine biosynthesis protein ThiS
